,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2023,24,TEN,NFL,QB,9,9,3-6-0,149,255,58.4,1808,8,3.1,4,1.6,81,37.1,61,7.1,7.01,12.1,200.9,84.2,33.2,28,185,9.89,5.73,5.66,1,1,6,
1,2024,25,TEN,NFL,QB,12,12,2-10-0,190,301,63.1,2091,13,4.3,12,4.0,86,36.5,98,6.9,6.02,11.0,174.3,81.4,27.8,41,233,11.99,5.43,4.61,1,1,5,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,21,21,5-16-0,339,556,61.0,3899,21,3.8,16,2.9,167,36.8,98,7.0,6.47,11.5,185.7,82.7,,69,418,11.04,5.57,5.09,2,2,11,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,5-16-0,274,450,61.0,3156,17,3.8,13,2.9,135,36.8,98,7.0,6.47,11.5,185.7,82.7,,56,338,11.04,5.57,5.09,2,2,9,
