,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2024-09-08,IND,,HOU,"L, 27-29",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2024-09-15,IND,@,GNB,"L, 10-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,18.0,3.0,3.0,2024-09-22,IND,,CHI,"W, 21-16",,5,3,22,7.3,0,60.0,4.4,0,0,0,,0,0,0,,0,0,0,0,0,0,32,57.1,0,0.0,0,0.0
3,2.0,19.0,4.0,4.0,2024-09-29,IND,,PIT,"W, 27-24",*,9,8,82,10.3,1,88.9,9.1,0,0,0,,1,5,0,5.0,0,0,0,0,0,0,41,62.1,0,0.0,3,11.1
4,3.0,20.0,5.0,5.0,2024-10-06,IND,@,JAX,"L, 34-37",*,12,9,69,7.7,0,75.0,5.8,0,0,0,,1,11,0,11.0,0,0,0,0,0,0,43,61.4,0,0.0,2,5.9
5,4.0,21.0,6.0,6.0,2024-10-13,IND,@,TEN,"W, 20-17",,9,7,66,9.4,1,77.8,7.3,1,-1,0,-1.0,4,67,0,16.8,0,0,0,0,0,0,55,78.6,0,0.0,5,19.2
6,5.0,22.0,7.0,7.0,2024-10-20,IND,,MIA,"W, 16-10",,3,1,3,3.0,0,33.3,1.0,0,0,0,,2,13,0,6.5,0,0,0,0,0,0,38,61.3,0,0.0,6,22.2
7,6.0,23.0,8.0,8.0,2024-10-27,IND,@,HOU,"L, 20-23",,9,4,109,27.3,1,44.4,12.1,0,13,0,,2,12,0,6.0,0,0,0,0,0,0,45,70.3,0,0.0,6,18.2
8,7.0,24.0,9.0,9.0,2024-11-03,IND,@,MIN,"L, 13-21",*,9,6,60,10.0,0,66.7,6.7,0,0,0,,1,12,0,12.0,0,0,0,0,0,0,27,50.0,0,0.0,2,9.1
9,8.0,25.0,10.0,10.0,2024-11-10,IND,,BUF,"L, 20-30",*,10,7,72,10.3,0,70.0,7.2,0,0,0,,0,0,0,,0,0,0,1,0,0,44,68.8,0,0.0,2,8.0
10,9.0,26.0,11.0,11.0,2024-11-17,IND,@,NYJ,"W, 28-27",*,5,5,84,16.8,1,100.0,16.8,0,0,0,,3,37,0,12.3,0,0,0,0,0,0,48,68.6,0,0.0,5,16.1
11,10.0,27.0,12.0,12.0,2024-11-24,IND,,DET,"L, 6-24",*,7,3,27,9.0,0,42.9,3.9,0,0,0,,2,4,0,2.0,0,0,0,0,0,0,29,52.7,0,0.0,4,16.7
12,10.0,,13.0,13.0,2024-12-01,IND,@,NWE,"W, 25-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,11.0,28.0,14.0,15.0,2024-12-15,IND,@,DEN,"L, 13-31",*,8,3,32,10.7,0,37.5,4.0,0,0,0,,0,0,0,,0,0,0,0,0,0,58,76.3,0,0.0,0,0.0
14,12.0,29.0,15.0,16.0,2024-12-22,IND,,TEN,"W, 38-30",,4,3,61,20.3,1,75.0,15.3,0,0,0,,0,0,0,,0,0,0,0,0,0,36,58.1,0,0.0,0,0.0
15,13.0,30.0,16.0,17.0,2024-12-29,IND,@,NYG,"L, 33-45",,4,3,22,7.3,0,75.0,5.5,0,0,0,,0,0,0,,0,0,0,0,0,0,47,61.0,0,0.0,0,0.0
16,14.0,31.0,17.0,18.0,2025-01-05,IND,,JAX,"W, 26-23 (OT)",*,13,10,94,9.4,0,76.9,7.2,0,0,0,,0,0,0,,0,0,0,0,0,0,59,75.6,0,0.0,0,0.0
17,,,,,,,,,7-7,,107,72,803,11.2,5,67.3,7.5,1,12,0,12.0,16,161,0,10.1,0,0,0,1,0,0,602,65.2,0,0.0,35,8.8
