,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2022,23,BUF,NFL,RB,16,0,89,507,2,25,50.6,33,5.7,31.7,5.6,32,21,180,8.6,1,5,46.9,41,1.3,11.3,65.6,5.6,110,6.2,687,3,1,5,
1,2023,24,BUF,NFL,RB,17,13,237,1122,2,53,55.7,42,4.7,66.0,13.9,54,44,445,10.1,4,16,59.3,48,2.6,26.2,81.5,8.2,281,5.6,1567,6,4,13,PB
2,2024,25,BUF,NFL,RB,16,16,207,1009,16,48,53.1,65,4.9,63.1,12.9,38,32,258,8.1,2,14,50.0,28,2.0,16.1,84.2,6.8,239,5.3,1267,18,1,11,PB
3,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,49,29,533,2638,20,126,53.8,65,4.9,53.8,10.9,124,97,883,9.1,7,35,53.2,48,2.0,18.0,78.2,7.1,630,5.6,3521,27,6,29,
4,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,10,185,915,7,44,53.8,65,4.9,53.8,10.9,43,34,306,9.1,2,12,53.2,48,2.0,18.0,78.2,7.1,219,1.9,1222,9,2,10,
