,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,22,DAL,NFL,RB,15.0,0.0,7.0,24.0,0.0,1.0,42.9,7.0,3.4,1.6,0.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,7.0,3.4,24.0,0.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022,24,DAL,NFL,RB,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,
3,2023,25,DAL,NFL,RB,16.0,0.0,89.0,361.0,2.0,17.0,47.2,21.0,4.1,22.6,5.6,22.0,17.0,144.0,8.5,2.0,6.0,40.9,32.0,1.1,9.0,77.3,6.5,106.0,4.8,505.0,4.0,0.0,4.0,
4,2024,26,DAL,NFL,RB,16.0,15.0,235.0,1079.0,2.0,53.0,53.6,27.0,4.6,67.4,14.7,49.0,39.0,249.0,6.4,3.0,13.0,53.1,22.0,2.4,15.6,79.6,5.1,274.0,4.8,1328.0,5.0,3.0,8.0,
5,2025,27,CAR,NFL,RB,3.0,0.0,19.0,51.0,1.0,3.0,42.1,9.0,2.7,17.0,6.3,5.0,4.0,22.0,5.5,0.0,2.0,40.0,10.0,1.3,7.3,80.0,4.4,23.0,3.2,73.0,1.0,0.0,,
6,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,55.0,15.0,350.0,1515.0,5.0,74.0,51.1,27.0,4.3,27.5,6.4,76.0,60.0,415.0,6.9,5.0,21.0,48.7,32.0,1.1,7.5,78.9,5.5,410.0,4.7,1930.0,10.0,3.0,12.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,5.0,108.0,468.0,2.0,23.0,51.1,27.0,4.3,27.5,6.4,23.0,19.0,128.0,6.9,2.0,6.0,48.7,32.0,1.1,7.5,78.9,5.5,127.0,4.7,597.0,3.0,1.0,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DAL (4 Yrs),DAL (4 Yrs),DAL (4 Yrs),DAL (4 Yrs),,52.0,15.0,331.0,1464.0,4.0,71.0,51.7,27.0,4.4,28.2,6.4,71.0,56.0,393.0,7.0,5.0,19.0,49.3,32.0,1.1,7.6,78.9,5.5,387.0,4.8,1857.0,9.0,3.0,12.0,
10,CAR (1 Yr),CAR (1 Yr),CAR (1 Yr),CAR (1 Yr),,3.0,0.0,19.0,51.0,1.0,3.0,42.1,9.0,2.7,17.0,6.3,5.0,4.0,22.0,5.5,0.0,2.0,40.0,10.0,1.3,7.3,80.0,4.4,23.0,3.2,73.0,1.0,0.0,,
