,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,53.0,1.0,1.0,2025-09-07,CAR,@,JAX,"L, 10-26",,3,12,0,4.0,3,2,4,2.0,0,66.7,1.3,0,0,0,,22,34.4,0,0.0,7,31.8
1,2.0,54.0,2.0,2.0,2025-09-14,CAR,@,ARI,"L, 22-27",,6,9,0,1.5,1,1,10,10.0,0,100.0,10.0,1,24,0,24.0,25,29.4,0,0.0,4,18.2
2,3.0,55.0,3.0,3.0,2025-09-21,CAR,,ATL,"W, 30-0",,10,30,1,3.0,1,1,8,8.0,0,100.0,8.0,1,21,0,21.0,23,39.7,0,0.0,1,4.5
3,,,,,,,,,1-2,,19,51,1,2.7,5,4,22,5.5,0,80.0,4.4,2,45,0,22.5,70,33.8,0,0.0,12,18.2
