,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,21.0,1.0,1.0,2023-09-10,DAL,@,NYG,"W, 40-0",,6,24,0,4.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,9,15.5,0,0.0,8,33.3
1,2.0,22.0,2.0,2.0,2023-09-17,DAL,,NYJ,"W, 30-10",,7,26,0,3.7,1,1,17,17.0,0,100.0,17.0,0,0,0,,0.0,0,0,0,0,0,0,18,20.7,0,0.0,12,42.9
2,3.0,23.0,3.0,3.0,2023-09-24,DAL,@,ARI,"L, 16-28",,4,21,0,5.3,3,3,25,8.3,1,100.0,8.3,0,0,0,,0.0,0,0,0,0,0,0,11,13.6,0,0.0,11,44.0
3,4.0,24.0,4.0,4.0,2023-10-01,DAL,,NWE,"W, 38-3",,3,9,0,3.0,1,1,8,8.0,0,100.0,8.0,0,0,0,,0.0,0,0,0,0,0,0,6,8.6,0,0.0,7,26.9
4,5.0,25.0,5.0,5.0,2023-10-08,DAL,@,SFO,"L, 10-42",,5,15,0,3.0,1,0,0,,0,0.0,0.0,2,35,0,17.5,0.0,0,0,0,0,0,0,10,20.4,0,0.0,10,37.0
5,6.0,26.0,6.0,6.0,2023-10-16,DAL,@,LAC,"W, 20-17",,3,12,0,4.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,10,15.6,0,0.0,1,4.0
6,7.0,27.0,7.0,8.0,2023-10-29,DAL,,LAR,"W, 43-20",,5,18,0,3.6,2,2,7,3.5,0,100.0,3.5,1,8,0,8.0,0.0,0,0,0,0,0,0,23,35.4,0,0.0,9,30.0
7,8.0,28.0,8.0,9.0,2023-11-05,DAL,@,PHI,"L, 23-28",,2,8,0,4.0,0,0,0,,0,,,1,31,0,31.0,0.0,0,0,0,0,0,0,14,18.7,0,0.0,9,37.5
8,9.0,29.0,9.0,10.0,2023-11-12,DAL,,NYG,"W, 49-17",,12,79,1,6.6,0,0,0,,0,,,1,11,0,11.0,0.0,1,0,1,0,0,0,22,28.2,0,0.0,11,35.5
9,10.0,30.0,10.0,11.0,2023-11-19,DAL,@,CAR,"W, 33-10",,8,23,0,2.9,2,2,-3,-1.5,0,100.0,-1.5,0,0,0,,0.0,0,0,0,0,0,0,21,29.2,0,0.0,1,3.7
10,11.0,31.0,11.0,12.0,2023-11-23,DAL,,WAS,"W, 45-10",,3,11,0,3.7,1,1,15,15.0,1,100.0,15.0,0,0,0,,0.0,0,0,0,0,0,0,12,22.2,0,0.0,1,4.0
11,12.0,32.0,12.0,13.0,2023-11-30,DAL,,SEA,"W, 41-35",,5,15,0,3.0,1,1,7,7.0,0,100.0,7.0,0,0,0,,0.0,0,0,0,0,0,0,16,18.0,0,0.0,0,0.0
12,13.0,33.0,13.0,14.0,2023-12-10,DAL,,PHI,"W, 33-13",,12,46,1,3.8,1,1,6,6.0,0,100.0,6.0,0,0,0,,0.0,0,0,0,0,0,0,23,28.0,0,0.0,0,0.0
13,14.0,34.0,14.0,15.0,2023-12-17,DAL,@,BUF,"L, 10-31",,3,4,0,1.3,3,2,8,4.0,0,66.7,2.7,0,0,0,,0.0,0,0,0,0,0,0,15,26.3,0,0.0,0,0.0
14,15.0,35.0,15.0,16.0,2023-12-24,DAL,@,MIA,"L, 20-22",,2,4,0,2.0,2,0,0,,0,0.0,0.0,1,1,0,1.0,0.0,0,0,0,0,0,0,11,16.7,0,0.0,4,15.4
15,15.0,,16.0,17.0,2023-12-30,DAL,,DET,"W, 20-19",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,16.0,36.0,17.0,18.0,2024-01-07,DAL,@,WAS,"W, 38-10",,9,46,0,5.1,4,3,54,18.0,0,75.0,13.5,0,0,0,,0.0,0,0,0,0,0,0,26,36.1,0,0.0,1,4.5
17,,,,,,,,,11-5,,89,361,2,4.1,22,17,144,8.5,2,77.3,6.5,6,86,0,14.3,0.0,1,0,1,0,0,0,247,22.1,0,0.0,85,20.4
