,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,16.0,1.0,1.0,2022-09-11,DAL,,TAM,"L, 3-19",,0.0,0,0,0,0,0,0,0,0.0,0,0.0,17,70.8
1,2.0,17.0,2.0,2.0,2022-09-18,DAL,,CIN,"W, 20-17",,0.0,1,1,0,0,0,0,1,1.6,0,0.0,18,69.2
2,3.0,18.0,3.0,3.0,2022-09-26,DAL,@,NYG,"W, 23-16",,0.0,0,0,0,0,0,0,2,3.1,0,0.0,17,58.6
3,4.0,19.0,4.0,4.0,2022-10-02,DAL,,WAS,"W, 25-10",,0.0,0,0,0,0,0,0,0,0.0,0,0.0,20,66.7
4,5.0,20.0,5.0,5.0,2022-10-09,DAL,@,LAR,"W, 22-10",,0.0,0,0,0,0,0,0,3,5.5,0,0.0,21,70.0
5,5.0,,6.0,6.0,2022-10-16,DAL,@,PHI,"L, 17-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,5.0,,7.0,7.0,2022-10-23,DAL,,DET,"W, 24-6",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,5.0,,8.0,8.0,2022-10-30,DAL,,CHI,"W, 49-29",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,5.0,,9.0,10.0,2022-11-13,DAL,@,GNB,"L, 28-31 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,5.0,,10.0,11.0,2022-11-20,DAL,@,MIN,"W, 40-3",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,5.0,,11.0,12.0,2022-11-24,DAL,,NYG,"W, 28-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,5.0,,12.0,13.0,2022-12-04,DAL,,IND,"W, 54-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,5.0,,13.0,14.0,2022-12-11,DAL,,HOU,"W, 27-23",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,5.0,,14.0,15.0,2022-12-18,DAL,@,JAX,"L, 34-40 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,5.0,,15.0,16.0,2022-12-24,DAL,,PHI,"W, 40-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,5.0,,16.0,17.0,2022-12-29,DAL,@,TEN,"W, 27-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,5.0,,17.0,18.0,2023-01-08,DAL,@,WAS,"L, 6-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,4-1,,0.0,1,1,0,0,0,0,6,1.9,0,0.0,93,66.9
