,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,52.0,1.0,1.0,2021-09-12,CAR,,NYJ,"W, 19-14",*,21,98,0,4.7,9,9,89,9.9,0,100.0,9.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,89.1,0,0.0,1,3.6
1,2.0,53.0,2.0,2.0,2021-09-19,CAR,,NOR,"W, 26-7",*,24,72,1,3.0,6,5,65,13.0,0,83.3,10.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,71.1,0,0.0,0,0.0
2,3.0,54.0,3.0,3.0,2021-09-23,CAR,@,HOU,"W, 24-9",*,7,31,0,4.4,2,2,9,4.5,0,100.0,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,30.1,0,0.0,0,0.0
3,3.0,,4.0,4.0,2021-10-03,CAR,@,DAL,"L, 28-36",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3.0,,5.0,5.0,2021-10-10,CAR,,PHI,"L, 18-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,3.0,,6.0,6.0,2021-10-17,CAR,,MIN,"L, 28-34 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,3.0,,7.0,7.0,2021-10-24,CAR,@,NYG,"L, 3-25",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,3.0,,8.0,8.0,2021-10-31,CAR,@,ATL,"W, 19-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,4.0,55.0,9.0,9.0,2021-11-07,CAR,,NWE,"L, 6-24",*,14,52,0,3.7,5,4,54,13.5,0,80.0,10.8,0.0,0,0,0,0,0,0,1,0,0,0,0,0,29,49.2,0,0.0,0,0.0
9,5.0,56.0,10.0,10.0,2021-11-14,CAR,@,ARI,"W, 34-10",*,13,95,0,7.3,10,10,66,6.6,0,100.0,6.6,0.0,1,1,0,0,0,0,0,0,0,0,0,0,44,58.7,0,0.0,1,4.0
10,6.0,57.0,11.0,11.0,2021-11-21,CAR,,WAS,"L, 21-27",*,10,59,0,5.9,8,7,60,8.6,1,87.5,7.5,0.0,0,0,0,0,0,0,0,0,0,1,3,0,46,90.2,0,0.0,0,0.0
11,7.0,58.0,12.0,12.0,2021-11-28,CAR,@,MIA,"L, 10-33",*,10,35,0,3.5,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,36.4,0,0.0,0,0.0
12,7.0,,13.0,14.0,2021-12-12,CAR,,ATL,"L, 21-29",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,7.0,,14.0,15.0,2021-12-19,CAR,@,BUF,"L, 14-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,7.0,,15.0,16.0,2021-12-26,CAR,,TAM,"L, 6-32",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,7.0,,16.0,17.0,2022-01-02,CAR,@,NOR,"L, 10-18",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
