,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,21,CAR,NFL,RB,16.0,10.0,117.0,435.0,2.0,22.0,45.3,40.0,3.7,27.2,7.3,113.0,80.0,651.0,8.1,5.0,37.0,50.4,37.0,5.0,40.7,70.8,5.8,197.0,5.5,1086.0,7.0,2.0,9.0,
1,2018,22,CAR,NFL,RB,16.0,16.0,219.0,1098.0,7.0,53.0,54.3,59.0,5.0,68.6,13.7,124.0,107.0,867.0,8.1,6.0,41.0,55.6,38.0,6.7,54.2,86.3,7.0,326.0,6.0,1965.0,13.0,4.0,16.0,AP-2
2,2019,23,CAR,NFL,RB,16.0,16.0,287.0,1387.0,15.0,57.0,46.3,84.0,4.8,86.7,17.9,142.0,116.0,1005.0,8.7,4.0,58.0,59.9,28.0,7.3,62.8,81.7,7.1,403.0,5.9,2392.0,19.0,1.0,15.0,"PB,AP-1,AP OPoY-3"
3,2020,24,CAR,NFL,RB,3.0,3.0,59.0,225.0,5.0,14.0,57.6,15.0,3.8,75.0,19.7,19.0,17.0,149.0,8.8,1.0,8.0,52.6,24.0,5.7,49.7,89.5,7.8,76.0,4.9,374.0,6.0,0.0,3.0,
4,2021,25,CAR,NFL,RB,7.0,7.0,99.0,442.0,1.0,20.0,50.5,18.0,4.5,63.1,14.1,41.0,37.0,343.0,9.3,1.0,21.0,65.9,32.0,5.3,49.0,90.2,8.4,136.0,5.8,785.0,2.0,1.0,5.0,
5,2022,26,2TM,NFL,RB,17.0,16.0,244.0,1139.0,8.0,59.0,48.4,49.0,4.7,67.0,14.4,108.0,85.0,741.0,8.7,5.0,36.0,52.8,49.0,5.0,43.6,78.7,6.9,329.0,5.7,1880.0,13.0,1.0,15.0,"PB,AP OPoY-7,AP CPoY-2"
6,2022,26,CAR,NFL,RB,6.0,6.0,85.0,393.0,2.0,20.0,49.4,49.0,4.6,65.5,14.2,43.0,33.0,277.0,8.4,1.0,10.0,41.9,49.0,5.5,46.2,76.7,6.4,118.0,5.7,670.0,3.0,0.0,5.0,
7,2022,26,SFO,NFL,RB,11.0,10.0,159.0,746.0,6.0,39.0,47.8,38.0,4.7,67.8,14.5,65.0,52.0,464.0,8.9,4.0,26.0,60.0,38.0,4.7,42.2,80.0,7.1,211.0,5.7,1210.0,10.0,1.0,10.0,
8,2023,27,SFO,NFL,RB,16.0,16.0,272.0,1459.0,14.0,83.0,54.0,72.0,5.4,91.2,17.0,83.0,67.0,564.0,8.4,7.0,31.0,55.4,41.0,4.2,35.3,80.7,6.8,339.0,6.0,2023.0,21.0,3.0,18.0,"PB,AP-1,AP MVP-3,AP OPoY-1"
9,2024,28,SFO,NFL,RB,4.0,4.0,50.0,202.0,0.0,12.0,44.0,19.0,4.0,50.5,12.5,19.0,15.0,146.0,9.7,0.0,6.0,52.6,30.0,3.8,36.5,78.9,7.7,65.0,5.4,348.0,0.0,1.0,2.0,
10,2025,29,SFO,NFL,RB,3.0,3.0,52.0,176.0,0.0,13.0,48.1,15.0,3.4,58.7,17.3,32.0,25.0,213.0,8.5,1.0,8.0,56.3,25.0,8.3,71.0,78.1,6.7,77.0,5.1,389.0,1.0,0.0,,
11,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,98.0,91.0,1399.0,6563.0,52.0,333.0,50.1,84.0,4.7,67.0,14.3,681.0,549.0,4679.0,8.5,30.0,246.0,55.7,49.0,5.6,47.7,80.6,6.9,1948.0,5.8,11242.0,82.0,13.0,83.0,
12,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,243.0,1138.0,9.0,58.0,50.1,84.0,4.7,67.0,14.3,118.0,95.0,812.0,8.5,5.0,43.0,55.7,49.0,5.6,47.7,80.6,6.9,338.0,5.8,1950.0,14.0,2.0,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CAR (6 Yrs),CAR (6 Yrs),CAR (6 Yrs),CAR (6 Yrs),,64.0,58.0,866.0,3980.0,32.0,186.0,49.8,84.0,4.6,62.2,13.5,482.0,390.0,3292.0,8.4,18.0,175.0,55.2,49.0,6.1,51.4,80.9,6.8,1256.0,5.8,7272.0,50.0,8.0,53.0,
15,SFO (4 Yrs),SFO (4 Yrs),SFO (4 Yrs),SFO (4 Yrs),,34.0,33.0,533.0,2583.0,20.0,147.0,50.7,72.0,4.8,76.0,15.7,199.0,159.0,1387.0,8.7,12.0,71.0,56.8,41.0,4.7,40.8,79.9,7.0,692.0,5.7,3970.0,32.0,5.0,30.0,
