,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,11.0,1.0,1.0,2021-09-12,MIA,@,NWE,"W, 17-16",*,16,27,59.3,202,1,1,7.5,6.56,79.6,2,17,4,1,1,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,96.3,0,0.0,0,0.0
1,2.0,12.0,2.0,2.0,2021-09-19,MIA,,BUF,"L, 0-35",*,1,4,25.0,13,0,0,3.3,3.25,40.6,2,13,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,12.2,0,0.0,0,0.0
2,2.0,,3.0,3.0,2021-09-26,MIA,@,LVR,"L, 28-31 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2.0,,4.0,4.0,2021-10-03,MIA,,IND,"L, 17-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2.0,,5.0,5.0,2021-10-10,MIA,@,TAM,"L, 17-45",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3.0,13.0,6.0,6.0,2021-10-17,MIA,@,JAX,"L, 20-23",*,33,47,70.2,329,2,1,7.0,6.89,95.1,0,0,3,22,0,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,98.6,0,0.0,0,0.0
6,4.0,14.0,7.0,7.0,2021-10-24,MIA,,ATL,"L, 28-30",*,32,40,80.0,291,4,2,7.3,7.03,109.5,1,10,4,29,0,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,73,100.0,0,0.0,0,0.0
7,5.0,15.0,8.0,8.0,2021-10-31,MIA,@,BUF,"L, 11-26",*,21,39,53.8,205,0,1,5.3,4.10,58.2,2,11,4,10,1,2.5,0.0,1,0,1,0,0,0,1,0,0,0,0,0,69,100.0,0,0.0,0,0.0
8,5.0,,9.0,9.0,2021-11-07,MIA,,HOU,"W, 17-9",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,6.0,16.0,10.0,10.0,2021-11-11,MIA,,BAL,"W, 22-10",,8,13,61.5,158,0,0,12.2,12.15,104.0,1,6,3,0,1,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,32,46.4,0,0.0,0,0.0
10,7.0,17.0,11.0,11.0,2021-11-21,MIA,@,NYJ,"W, 24-17",*,27,33,81.8,273,2,1,8.3,8.12,108.7,0,0,3,6,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
11,8.0,18.0,12.0,12.0,2021-11-28,MIA,,CAR,"W, 33-10",*,27,31,87.1,230,1,0,7.4,8.06,108.3,2,26,4,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0,1,0,0,74,100.0,0,0.0,0,0.0
12,9.0,19.0,13.0,13.0,2021-12-05,MIA,,NYG,"W, 20-9",*,30,41,73.2,244,2,0,6.0,6.93,104.1,2,15,2,1,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
13,10.0,20.0,14.0,15.0,2021-12-19,MIA,,NYJ,"W, 31-24",*,16,27,59.3,196,2,2,7.3,5.41,75.5,1,0,7,19,0,2.7,0.0,0,0,0,0,0,0,1,0,0,1,3,0,68,95.8,0,0.0,0,0.0
14,11.0,21.0,15.0,16.0,2021-12-27,MIA,@,NOR,"W, 20-3",*,19,26,73.1,198,1,1,7.6,6.65,91.5,2,25,1,1,0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,61,93.8,0,0.0,0,0.0
15,12.0,22.0,16.0,17.0,2022-01-02,MIA,@,TEN,"L, 3-34",*,18,38,47.4,205,0,1,5.4,4.21,53.1,4,23,2,1,0,0.5,0.0,0,0,0,0,0,0,3,1,0,0,-1,0,61,98.4,0,0.0,0,0.0
16,13.0,23.0,17.0,18.0,2022-01-09,MIA,,NWE,"W, 33-24",*,15,22,68.2,109,1,0,5.0,5.86,94.7,1,6,5,38,0,7.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
17,,,,,,,,,8-5,,263,388,67.8,2653,16,10,6.8,6.50,90.1,20,152,42,128,3,3.0,0.0,1,0,1,0,0,0,9,1,0,2,2,0,777,87.3,0,0.0,0,0.0
