,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2020-09-13,MIA,@,NWE,"L, 11-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2020-09-20,MIA,,BUF,"L, 28-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,,3.0,3.0,2020-09-24,MIA,@,JAX,"W, 31-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,,4.0,4.0,2020-10-04,MIA,,SEA,"L, 23-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,,5.0,5.0,2020-10-11,MIA,@,SFO,"W, 43-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,1.0,1.0,6.0,6.0,2020-10-18,MIA,,NYJ,"W, 24-0",,2,2,100.0,9,0,0,4.5,4.50,85.4,0,0,0,0,0,,0,0,0,0,0,0,5,8.9,0,0.0,0,0.0
6,2.0,2.0,7.0,8.0,2020-11-01,MIA,,LAR,"W, 28-17",*,12,22,54.5,93,1,0,4.2,5.14,80.3,1,3,2,0,0,0.0,1,1,0,0,0,0,49,100.0,0,0.0,0,0.0
7,3.0,3.0,8.0,9.0,2020-11-08,MIA,@,ARI,"W, 34-31",*,20,28,71.4,248,2,0,8.9,10.29,122.3,3,27,7,35,0,5.0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
8,4.0,4.0,9.0,10.0,2020-11-15,MIA,,LAC,"W, 29-21",*,15,25,60.0,169,2,0,6.8,8.36,106.9,0,0,6,-1,0,-0.2,0,0,0,1,0,0,58,100.0,0,0.0,0,0.0
9,5.0,5.0,10.0,11.0,2020-11-22,MIA,@,DEN,"L, 13-20",*,11,20,55.0,83,1,0,4.2,5.15,81.9,6,33,0,0,0,,0,0,0,0,0,0,44,67.7,0,0.0,0,0.0
10,5.0,,11.0,12.0,2020-11-29,MIA,@,NYJ,"W, 20-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,6.0,6.0,12.0,13.0,2020-12-06,MIA,,CIN,"W, 19-7",*,26,39,66.7,296,1,0,7.6,8.10,97.8,0,0,3,3,0,1.0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
12,7.0,7.0,13.0,14.0,2020-12-13,MIA,,KAN,"L, 27-33",*,28,48,58.3,316,2,1,6.6,6.48,83.3,4,29,6,24,1,4.0,0,0,0,0,0,0,83,100.0,0,0.0,0,0.0
13,8.0,8.0,14.0,15.0,2020-12-20,MIA,,NWE,"W, 22-12",*,20,26,76.9,145,0,1,5.6,3.85,73.4,2,12,3,9,2,3.0,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
14,9.0,9.0,15.0,16.0,2020-12-26,MIA,@,LVR,"W, 26-25",*,17,22,77.3,94,1,0,4.3,5.18,99.4,3,23,3,11,0,3.7,0,0,0,0,0,0,46,73.0,0,0.0,0,0.0
15,10.0,10.0,16.0,17.0,2021-01-03,MIA,@,BUF,"L, 26-56",*,35,58,60.3,361,1,3,6.2,4.24,62.5,1,9,6,28,0,4.7,0,0,0,0,0,0,83,100.0,0,0.0,0,0.0
16,,,,,,,,,7-3,,186,290,64.1,1814,11,5,6.3,6.24,87.1,20,136,36,109,3,3.0,1,1,0,1,0,0,571,86.5,0,0.0,0,0.0
