,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,28.0,1.0,1.0,2018-09-09,NYG,,JAX,"L, 15-20",*,7,5,48,9.6,0,71.4,6.9,0,0,0,,0,0,0,0,0,0,0,0,0,61,85.9,0,0.0,0,0.0
1,2.0,29.0,2.0,2.0,2018-09-16,NYG,@,DAL,"L, 13-20",*,5,3,24,8.0,0,60.0,4.8,0,0,0,,0,0,0,0,0,0,0,0,0,65,95.6,0,0.0,2,7.7
2,3.0,30.0,3.0,3.0,2018-09-23,NYG,@,HOU,"W, 27-22",*,7,6,80,13.3,1,85.7,11.4,0,0,0,,0,0,0,0,0,0,0,0,0,59,95.2,0,0.0,1,3.7
3,4.0,31.0,4.0,4.0,2018-09-30,NYG,,NOR,"L, 18-33",*,10,10,77,7.7,1,100.0,7.7,0,0,0,,0,0,0,0,0,0,0,0,0,59,95.2,0,0.0,0,0.0
4,5.0,32.0,5.0,5.0,2018-10-07,NYG,@,CAR,"L, 31-33",*,7,4,75,18.8,0,57.1,10.7,0,0,0,,0,27,0,1,0,0,0,0,0,56,100.0,0,0.0,1,3.1
5,6.0,33.0,6.0,6.0,2018-10-11,NYG,,PHI,"L, 13-34",*,7,3,37,12.3,0,42.9,5.3,0,0,0,,0,0,0,0,0,0,0,0,0,63,96.9,0,0.0,0,0.0
6,7.0,34.0,7.0,7.0,2018-10-22,NYG,@,ATL,"L, 20-23",*,8,5,167,33.4,0,62.5,20.9,0,0,0,,0,0,0,0,0,0,0,0,0,58,90.6,0,0.0,1,4.0
7,8.0,35.0,8.0,8.0,2018-10-28,NYG,,WAS,"L, 13-20",*,8,4,34,8.5,0,50.0,4.3,0,0,0,,0,0,0,0,0,0,0,0,0,67,95.7,0,0.0,1,3.4
8,9.0,36.0,9.0,10.0,2018-11-12,NYG,@,SFO,"W, 27-23",*,3,2,9,4.5,1,66.7,3.0,1,27,0,27.0,0,0,0,0,0,0,0,0,0,56,94.9,0,0.0,0,0.0
9,10.0,37.0,10.0,11.0,2018-11-18,NYG,,TAM,"W, 38-35",*,2,2,22,11.0,0,100.0,11.0,0,0,0,,0,0,0,0,0,0,0,0,0,46,86.8,0,0.0,1,3.4
10,11.0,38.0,11.0,12.0,2018-11-25,NYG,@,PHI,"L, 22-25",*,6,4,37,9.3,0,66.7,6.2,0,0,0,,0,0,0,0,0,0,0,0,0,56,91.8,0,0.0,0,0.0
11,12.0,39.0,12.0,13.0,2018-12-02,NYG,,CHI,"W, 30-27 (OT)",*,6,4,28,7.0,0,66.7,4.7,0,0,0,,0,0,0,0,0,0,0,0,0,57,79.2,0,0.0,1,2.7
12,13.0,40.0,13.0,14.0,2018-12-09,NYG,@,WAS,"W, 40-16",*,6,2,17,8.5,1,33.3,2.8,0,0,0,,0,0,0,0,0,0,0,0,0,43,67.2,0,0.0,1,3.2
13,14.0,41.0,14.0,15.0,2018-12-16,NYG,,TEN,"L, 0-17",*,9,2,37,18.5,0,22.2,4.1,0,0,0,,0,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
14,15.0,42.0,15.0,16.0,2018-12-23,NYG,@,IND,"L, 27-28",*,7,6,113,18.8,0,85.7,16.1,1,-3,0,-3.0,0,0,0,0,0,0,0,0,0,57,89.1,0,0.0,0,0.0
15,16.0,43.0,16.0,17.0,2018-12-30,NYG,,DAL,"L, 35-36",*,9,4,67,16.8,0,44.4,7.4,1,9,0,9.0,0,0,0,0,0,0,0,0,0,66,93.0,0,0.0,0,0.0
16,,,,,,,,,5-11,,107,66,872,13.2,4,61.7,8.1,3,33,0,11.0,0,27,0,1,0,0,0,0,0,934,90.9,0,0.0,9,2.0
