,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2016,23,NYG,NFL,WR,16.0,16.0,105.0,65.0,683.0,10.5,8.0,42.0,49.5,32.0,4.1,42.7,61.9,6.5,3.0,31.0,0.0,1.0,66.7,22.0,10.3,1.9,0.2,68.0,10.5,714.0,8.0,0.0,5.0,
1,2017,24,NYG,NFL,WR,11.0,10.0,84.0,59.0,731.0,12.4,2.0,36.0,57.1,77.0,5.4,66.5,70.2,8.7,4.0,4.0,0.0,1.0,50.0,12.0,1.0,0.4,0.4,63.0,11.7,735.0,2.0,1.0,5.0,
2,2018,25,NYG,NFL,WR,16.0,16.0,107.0,66.0,872.0,13.2,4.0,47.0,51.4,58.0,4.1,54.5,61.7,8.1,3.0,33.0,0.0,1.0,66.7,27.0,11.0,2.1,0.2,69.0,13.1,905.0,4.0,1.0,7.0,
3,2019,26,NYG,NFL,WR,10.0,10.0,83.0,57.0,576.0,10.1,3.0,29.0,59.0,36.0,5.7,57.6,68.7,6.9,6.0,72.0,0.0,3.0,66.7,23.0,12.0,7.2,0.6,63.0,10.3,648.0,3.0,0.0,5.0,
4,2020,27,NYG,NFL,WR,12.0,12.0,90.0,66.0,656.0,9.9,3.0,37.0,60.0,29.0,5.5,54.7,73.3,7.3,6.0,49.0,1.0,2.0,66.7,23.0,8.2,4.1,0.5,72.0,9.8,705.0,4.0,0.0,5.0,
5,2021,28,NYG,NFL,WR,7.0,6.0,53.0,36.0,366.0,10.2,1.0,19.0,47.2,37.0,5.1,52.3,67.9,6.9,1.0,-9.0,0.0,0.0,0.0,-9.0,-9.0,-1.3,0.1,37.0,9.6,357.0,1.0,0.0,2.0,
6,2022,29,NYG,NFL,WR,3.0,2.0,24.0,13.0,154.0,11.8,1.0,4.0,29.2,65.0,4.3,51.3,54.2,6.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,13.0,11.8,154.0,1.0,0.0,1.0,
7,2023,30,NYG,NFL,WR,15.0,2.0,22.0,10.0,57.0,5.7,1.0,4.0,22.7,13.0,0.7,3.8,45.5,2.6,1.0,6.0,0.0,0.0,100.0,6.0,6.0,0.4,0.1,11.0,5.7,63.0,1.0,1.0,0.0,
8,2024,31,TAM,NFL,WR,14.0,5.0,51.0,32.0,334.0,10.4,1.0,16.0,49.0,30.0,2.3,23.9,62.7,6.5,8.0,69.0,0.0,4.0,62.5,24.0,8.6,4.9,0.6,40.0,10.1,403.0,1.0,0.0,4.0,
9,2025,32,TAM,NFL,WR,3.0,1.0,15.0,11.0,153.0,13.9,0.0,9.0,73.3,24.0,3.7,51.0,73.3,10.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,11.0,13.9,153.0,0.0,0.0,,
10,10 Yrs,10 Yrs,10 Yrs,10 Yrs,,107.0,80.0,634.0,415.0,4582.0,11.0,24.0,243.0,52.2,77.0,3.9,42.8,65.5,7.2,32.0,255.0,1.0,12.0,62.5,27.0,8.0,2.4,0.3,447.0,10.8,4837.0,25.0,3.0,34.0,
11,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,13.0,101.0,66.0,728.0,11.0,4.0,39.0,52.2,77.0,3.9,42.8,65.5,7.2,5.0,41.0,0.0,2.0,62.5,27.0,8.0,2.4,0.3,71.0,10.8,768.0,4.0,0.0,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NYG (8 Yrs),NYG (8 Yrs),NYG (8 Yrs),NYG (8 Yrs),,90.0,74.0,568.0,372.0,4095.0,11.0,23.0,218.0,51.9,77.0,4.1,45.5,65.5,7.2,24.0,186.0,1.0,8.0,62.5,27.0,7.8,2.1,0.3,396.0,10.8,4281.0,24.0,3.0,30.0,
14,TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),,17.0,6.0,66.0,43.0,487.0,11.3,1.0,25.0,54.5,30.0,2.5,28.6,65.2,7.4,8.0,69.0,0.0,4.0,62.5,24.0,8.6,4.1,0.5,51.0,10.9,556.0,1.0,0.0,4.0,
