,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2024-09-08,DEN,@,SEA,"L, 20-26",*,1,0,0,,0,0.0,0.0,0,0,0,,3,69,0,23.0,5,47,0,9.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,17.4,0,0.0,14,41.2
1,2.0,18.0,2.0,2.0,2024-09-15,DEN,,PIT,"L, 6-13",,2,1,10,10.0,0,50.0,5.0,0,0,0,,0,0,0,,3,20,0,6.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,14.8,0,0.0,12,48.0
2,3.0,19.0,3.0,3.0,2024-09-22,DEN,@,TAM,"W, 26-7",,1,1,9,9.0,0,100.0,9.0,0,0,0,,0,0,0,,1,27,0,27.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,23.5,0,0.0,6,27.3
3,4.0,20.0,4.0,4.0,2024-09-29,DEN,@,NYJ,"W, 10-9",,0,0,0,,0,,,0,0,0,,0,0,0,,1,5,0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,16.4,0,0.0,13,46.4
4,5.0,21.0,5.0,5.0,2024-10-06,DEN,,LVR,"W, 34-18",,1,1,7,7.0,0,100.0,7.0,1,17,0,17.0,0,0,0,,2,54,0,27.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,19.0,0,0.0,9,30.0
5,6.0,22.0,6.0,6.0,2024-10-13,DEN,,LAC,"L, 16-23",,3,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,1,10,0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,30.9,0,0.0,10,37.0
6,7.0,23.0,7.0,7.0,2024-10-17,DEN,@,NOR,"W, 33-10",,3,2,18,9.0,0,66.7,6.0,0,0,0,,2,60,0,30.0,2,13,0,6.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,18.5,0,0.0,10,34.5
7,8.0,24.0,8.0,8.0,2024-10-27,DEN,,CAR,"W, 28-14",,2,1,8,8.0,0,50.0,4.0,0,0,0,,0,0,0,,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,28.8,0,0.0,10,41.7
8,9.0,25.0,9.0,9.0,2024-11-03,DEN,@,BAL,"L, 10-41",,2,1,4,4.0,0,50.0,2.0,0,0,0,,1,38,0,38.0,1,18,0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,34.7,0,0.0,11,44.0
9,10.0,26.0,10.0,10.0,2024-11-10,DEN,@,KAN,"L, 14-16",,4,4,13,3.3,0,100.0,3.3,3,17,0,5.7,0,0,0,,1,28,0,28.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,22.4,0,0.0,9,36.0
10,11.0,27.0,11.0,11.0,2024-11-17,DEN,,ATL,"W, 38-6",,2,2,49,24.5,1,100.0,24.5,3,4,0,1.3,0,0,0,,3,57,0,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,22.6,0,0.0,9,34.6
11,12.0,28.0,12.0,12.0,2024-11-24,DEN,@,LVR,"W, 29-19",,5,3,44,14.7,0,60.0,8.8,2,-2,0,-1.0,0,0,0,,1,22,0,22.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,16,23.5,0,0.0,12,35.3
12,13.0,29.0,13.0,13.0,2024-12-02,DEN,,CLE,"W, 41-32",,4,3,105,35.0,1,75.0,26.3,1,4,0,4.0,0,0,0,,1,10,0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,34.8,0,0.0,12,32.4
13,14.0,30.0,14.0,15.0,2024-12-15,DEN,,IND,"W, 31-13",,4,4,20,5.0,0,100.0,5.0,1,0,0,0.0,0,0,0,,3,97,0,32.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,25.4,0,0.0,9,30.0
14,15.0,31.0,15.0,16.0,2024-12-19,DEN,@,LAC,"L, 27-34",,5,3,62,20.7,0,60.0,12.4,1,3,0,3.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,30,46.9,0,0.0,12,41.4
15,16.0,32.0,16.0,17.0,2024-12-28,DEN,@,CIN,"L, 24-30 (OT)",*,8,8,103,12.9,2,100.0,12.9,1,-1,0,-1.0,1,27,0,27.0,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,0,0,0,28,46.7,0,0.0,6,24.0
16,17.0,33.0,17.0,18.0,2025-01-05,DEN,,KAN,"W, 38-0",,5,5,51,10.2,2,100.0,10.2,0,0,0,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,31.1,0,0.0,6,26.1
17,,,,,,,,,10-7,,52,39,503,12.9,6,75.0,9.7,13,42,0,3.2,7,194,0,27.7,26,408,0,15.7,0.0,1,1,0,0,0,0,1,0,0,1,0,0,297,27.0,0,0.0,170,35.9
