,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Ret.1,Yds.2,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2025-09-07,DEN,,TEN,"W, 20-12",,4,3,12,4.0,0,75.0,3.0,3,82,0,27.3,4,47,0,11.8,1,1,0,0,0,0,40,52.6,0,0.0,13,44.8
1,2.0,35.0,2.0,2.0,2025-09-14,DEN,@,IND,"L, 28-29",,2,2,24,12.0,1,100.0,12.0,2,52,0,26.0,0,0,0,,0,0,0,0,0,0,21,36.2,0,0.0,7,25.0
2,3.0,36.0,3.0,3.0,2025-09-21,DEN,@,LAC,"L, 20-23",*,4,1,4,4.0,0,25.0,1.0,4,114,0,28.5,2,56,0,28.0,0,0,0,0,0,0,23,44.2,0,0.0,11,34.4
3,,,,,,,,,1-2,,10,6,40,6.7,1,60.0,4.0,9,248,0,27.6,6,103,0,17.2,1,1,0,0,0,0,84,45.2,0,0.0,31,34.8
