,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2011,25,NOR,NFL,TE,2.0,2.0,19.0,12.0,158.0,13.2,3.0,8.0,63.2,66.0,6.0,79.0,63.2,8.3,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.2,158.0,3.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013,27,NOR,NFL,TE,2.0,1.0,10.0,4.0,52.0,13.0,0.0,2.0,20.0,21.0,2.0,26.0,40.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,52.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016,30,SEA,NFL,TE,2.0,2.0,7.0,6.0,59.0,9.8,1.0,4.0,71.4,14.0,3.0,29.5,85.7,8.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.8,59.0,1.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019,33,GNB,NFL,TE,2.0,1.0,9.0,7.0,108.0,15.4,0.0,4.0,55.6,42.0,3.5,54.0,77.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.4,108.0,0.0,0.0,
7,2020,34,CHI,NFL,TE,1.0,0.0,2.0,2.0,25.0,12.5,1.0,1.0,100.0,19.0,2.0,25.0,100.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,25.0,1.0,0.0,
8,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,9.0,6.0,47.0,31.0,402.0,13.0,5.0,19.0,55.3,66.0,3.4,44.7,66.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,31.0,13.0,402.0,5.0,0.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,89.0,59.0,759.0,13.0,9.0,36.0,55.3,66.0,3.4,44.7,66.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,59.0,13.0,759.0,9.0,0.0,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NOR (2 Yrs),NOR (2 Yrs),NOR (2 Yrs),NOR (2 Yrs),,4.0,3.0,29.0,16.0,210.0,13.1,3.0,10.0,48.3,66.0,4.0,52.5,55.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.1,210.0,3.0,0.0,
12,GNB (1 Yr),GNB (1 Yr),GNB (1 Yr),GNB (1 Yr),,2.0,1.0,9.0,7.0,108.0,15.4,0.0,4.0,55.6,42.0,3.5,54.0,77.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.4,108.0,0.0,0.0,
13,SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),,2.0,2.0,7.0,6.0,59.0,9.8,1.0,4.0,71.4,14.0,3.0,29.5,85.7,8.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.8,59.0,1.0,0.0,
14,CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,1.0,0.0,2.0,2.0,25.0,12.5,1.0,1.0,100.0,19.0,2.0,25.0,100.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,25.0,1.0,0.0,
