,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD
0,1.0,16.0,1.0,1.0,2011-09-08,NOR,@,GNB,"L, 34-42",*,7,4,56,14.0,1,57.1,8.0,0,0,0,0,0,0
1,2.0,17.0,2.0,2.0,2011-09-18,NOR,,CHI,"W, 30-13",*,7,6,79,13.2,0,85.7,11.3,0,0,0,0,0,0
2,3.0,18.0,3.0,3.0,2011-09-25,NOR,,HOU,"W, 40-33",*,8,4,100,25.0,1,50.0,12.5,0,0,0,0,0,0
3,4.0,19.0,4.0,4.0,2011-10-02,NOR,@,JAX,"W, 23-10",*,14,10,132,13.2,1,71.4,9.4,0,0,0,0,0,0
4,5.0,20.0,5.0,5.0,2011-10-09,NOR,@,CAR,"W, 30-27",*,12,8,129,16.1,0,66.7,10.8,0,0,0,0,0,0
5,6.0,21.0,6.0,6.0,2011-10-16,NOR,@,TAM,"L, 20-26",,11,7,124,17.7,0,63.6,11.3,0,0,0,0,0,0
6,7.0,22.0,7.0,7.0,2011-10-23,NOR,,IND,"W, 62-7",*,7,6,54,9.0,2,85.7,7.7,0,0,0,0,0,0
7,8.0,23.0,8.0,8.0,2011-10-30,NOR,@,STL,"L, 21-31",*,8,4,39,9.8,0,50.0,4.9,0,0,0,0,0,0
8,9.0,24.0,9.0,9.0,2011-11-06,NOR,,TAM,"W, 27-16",,8,6,78,13.0,0,75.0,9.8,0,0,0,0,0,0
9,10.0,25.0,10.0,10.0,2011-11-13,NOR,@,ATL,"W, 26-23 (OT)",,12,7,82,11.7,1,58.3,6.8,0,0,0,0,0,0
10,11.0,26.0,11.0,12.0,2011-11-28,NOR,,NYG,"W, 49-24",*,8,5,84,16.8,2,62.5,10.5,0,0,0,0,0,0
11,12.0,27.0,12.0,13.0,2011-12-04,NOR,,DET,"W, 31-17",*,10,8,89,11.1,0,80.0,8.9,0,0,0,0,0,0
12,13.0,28.0,13.0,14.0,2011-12-11,NOR,@,TEN,"W, 22-17",,9,5,55,11.0,0,55.6,6.1,0,0,0,0,0,0
13,14.0,29.0,14.0,15.0,2011-12-18,NOR,@,MIN,"W, 42-20",*,10,7,70,10.0,1,70.0,7.0,1,1,0,0,0,0
14,15.0,30.0,15.0,16.0,2011-12-26,NOR,,ATL,"W, 45-16",,9,4,42,10.5,1,44.4,4.7,0,0,0,0,0,0
15,16.0,31.0,16.0,17.0,2012-01-01,NOR,,CAR,"W, 45-17",*,9,8,97,12.1,1,88.9,10.8,0,0,0,0,0,0
16,,,,,,,,,13-3,,149,99,1310,13.2,11,66.4,8.8,1,1,0,0,0,0
