,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2014,23,ARI,NFL,QB,1.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017,26,BUF,NFL,TE,1.0,1.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,1.0,5.0,50.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020,29,WAS,NFL,TE,1.0,1.0,9.0,5.0,74.0,14.8,0.0,3.0,44.4,29.0,5.0,74.0,55.6,8.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.8,74.0,0.0,0.0,
5,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,3.0,2.0,11.0,6.0,79.0,13.2,0.0,3.0,36.4,29.0,2.0,26.3,54.5,7.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.2,79.0,0.0,0.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,,34.0,448.0,13.2,0.0,17.0,,29.0,2.0,26.3,,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,13.2,448.0,0.0,0.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),,1.0,1.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,1.0,5.0,50.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,
9,ARI (1 Yr),ARI (1 Yr),ARI (1 Yr),ARI (1 Yr),,1.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
10,WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,1.0,1.0,9.0,5.0,74.0,14.8,0.0,3.0,44.4,29.0,5.0,74.0,55.6,8.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.8,74.0,0.0,0.0,
