,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,54.0,3.0,3.0,2025-09-21,MIN,,CIN,"W, 48-10",,5,19,0,3.8,1,0,0,0,0.0,0.0,7,11.7,0,0.0,4,12.1
1,,,,,,,,,1-0,,5,19,0,3.8,1,0,0,0,0.0,0.0,7,11.7,0,0.0,4,12.1
