,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,30.0,1.0,1,2023-09-10,LAR,@,SEA,"W, 30-13",*,22,29,1,1.3,0,0,0,,0,,,0,0,0,0,0,0,0,28,34.6,0,0.0,0,0.0
1,1.0,,2.0,2,2023-09-17,LAR,,SFO,"L, 23-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings,Player went from Los Angeles Rams to Minnesota Vikings
3,1.0,,3.0,3,2023-09-24,MIN,,LAC,"L, 24-28",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2.0,31.0,4.0,4,2023-10-01,MIN,@,CAR,"W, 21-13",,5,40,0,8.0,2,2,11,5.5,0,100.0,5.5,0,0,0,0,0,0,0,14,29.2,0,0.0,0,0.0
5,3.0,32.0,5.0,5,2023-10-08,MIN,,KAN,"L, 20-27",,5,15,0,3.0,2,2,3,1.5,0,100.0,1.5,0,0,0,0,0,0,0,21,29.2,0,0.0,0,0.0
6,4.0,33.0,6.0,6,2023-10-15,MIN,@,CHI,"W, 19-13",,1,8,0,8.0,1,1,7,7.0,0,100.0,7.0,0,0,0,0,0,0,0,9,15.8,0,0.0,0,0.0
7,5.0,34.0,7.0,7,2023-10-23,MIN,,SFO,"W, 22-17",,10,31,0,3.1,3,2,30,15.0,0,66.7,10.0,0,0,0,0,0,0,0,27,38.6,0,0.0,0,0.0
8,6.0,35.0,8.0,8,2023-10-29,MIN,@,GNB,"W, 24-10",,9,19,1,2.1,1,1,6,6.0,0,100.0,6.0,0,0,0,0,0,0,0,17,23.6,0,0.0,0,0.0
9,7.0,36.0,9.0,9,2023-11-05,MIN,@,ATL,"W, 31-28",,8,25,0,3.1,3,3,13,4.3,0,100.0,4.3,0,0,0,0,0,1,7,23,30.7,0,0.0,0,0.0
10,7.0,,10.0,10,2023-11-12,MIN,,NOR,"W, 27-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,7.0,,11.0,11,2023-11-19,MIN,@,DEN,"L, 20-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,7.0,,12.0,12,2023-11-27,MIN,,CHI,"L, 10-12",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,7.0,,13.0,14,2023-12-10,MIN,@,LVR,"W, 3-0",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,7.0,,14.0,15,2023-12-16,MIN,@,CIN,"L, 24-27 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,7.0,,15.0,16,2023-12-24,MIN,,DET,"L, 24-30",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,7.0,,16.0,17,2023-12-31,MIN,,GNB,"L, 10-33",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,7.0,,17.0,18,2024-01-07,MIN,@,DET,"L, 20-30",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,,,,,,,,,6-1,,60,167,2,2.8,12,11,70,6.4,0,91.7,5.8,0,0,0,0,0,1,7,139,29.3,0,0.0,0,0.0
