,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2023,24,CIN,NFL,WR,16,1,25,15,116,7.7,4,11,60.0,16,0.9,7.3,60.0,4.6,0,0,0,0,0.0,0.0,15,7.7,116,4,0,1,
1,2024,25,CIN,NFL,WR,17,8,61,36,479,13.3,6,26,55.7,39,2.1,28.2,59.0,7.9,0,0,0,0,0.0,0.0,36,13.3,479,6,0,4,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,33,9,86,51,595,11.7,10,37,57.0,39,1.5,18.0,59.3,6.9,0,0,0,0,0.0,0.0,51,11.7,595,10,0,5,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,5,44,26,307,11.7,5,19,57.0,39,1.5,18.0,59.3,6.9,0,0,0,0,0.0,0.0,26,6.0,307,5,0,3,
