,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Ret.1,Yds.2,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2020-09-13,NOR,,TAM,"W, 34-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,1.0,2.0,2.0,2020-09-21,NOR,@,LVR,"L, 24-34",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,21.7,0,0.0,6,22.2
2,2.0,2.0,3.0,3.0,2020-09-27,NOR,,GNB,"L, 30-37",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3,0,0.0,8,25.0
3,3.0,3.0,4.0,4.0,2020-10-04,NOR,@,DET,"W, 35-29",,1,1,16,16.0,0,100.0,16.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,21.4,0,0.0,4,16.0
4,4.0,4.0,5.0,5.0,2020-10-12,NOR,,LAC,"W, 30-27 (OT)",*,6,4,34,8.5,0,66.7,5.7,2,57,0,28.5,6,69,0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,68.4,0,0.0,17,44.7
5,5.0,5.0,6.0,7.0,2020-10-25,NOR,,CAR,"W, 27-24",,10,8,75,9.4,0,80.0,7.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,72.9,0,0.0,0,0.0
6,5.0,,7.0,8.0,2020-11-01,NOR,@,CHI,"W, 26-23 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,6.0,8.0,9.0,2020-11-08,NOR,@,TAM,"W, 38-3",,2,2,11,5.5,0,100.0,5.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,23.3,0,0.0,3,14.3
8,7.0,7.0,9.0,10.0,2020-11-15,NOR,,SFO,"W, 27-13",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,2,0,0,6,10.2,0,0.0,14,50.0
9,8.0,8.0,10.0,11.0,2020-11-22,NOR,,ATL,"W, 24-9",,0,0,0,,0,,,1,20,0,20.0,3,18,0,6.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,9,13.4,0,0.0,15,55.6
10,9.0,9.0,11.0,12.0,2020-11-29,NOR,@,DEN,"W, 31-3",,0,0,0,,0,,,1,17,0,17.0,1,19,0,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,20.3,0,0.0,14,51.9
11,9.0,,12.0,13.0,2020-12-06,NOR,@,ATL,"W, 21-16",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,9.0,,13.0,14.0,2020-12-13,NOR,@,PHI,"L, 21-24",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,9.0,,14.0,15.0,2020-12-20,NOR,,KAN,"L, 29-32",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,10.0,10.0,15.0,16.0,2020-12-25,NOR,,MIN,"W, 52-33",*,4,3,26,8.7,0,75.0,6.5,0,0,0,,1,16,0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,56.0,0,0.0,3,9.7
15,11.0,11.0,16.0,17.0,2021-01-03,NOR,@,CAR,"W, 33-7",*,4,3,51,17.0,0,75.0,12.8,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,73.4,0,0.0,0,0.0
