,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,21,DET,NFL,RB,13.0,4.0,114.0,521.0,8.0,31.0,54.4,54.0,4.6,40.1,8.8,57.0,46.0,357.0,7.8,2.0,15.0,47.4,26.0,3.5,27.5,80.7,6.3,160.0,5.5,878.0,10.0,3.0,6.0,
1,2021,22,DET,NFL,RB,13.0,4.0,151.0,617.0,5.0,28.0,36.4,57.0,4.1,47.5,11.6,78.0,62.0,452.0,7.3,2.0,18.0,48.7,63.0,4.8,34.8,79.5,5.8,213.0,5.0,1069.0,7.0,2.0,7.0,
2,2022,23,DET,NFL,RB,14.0,8.0,99.0,542.0,5.0,21.0,47.5,50.0,5.5,38.7,7.1,70.0,48.0,389.0,8.1,3.0,17.0,38.6,25.0,3.4,27.8,68.6,5.6,147.0,6.3,931.0,8.0,1.0,8.0,
3,2023,24,PHI,NFL,RB,16.0,15.0,229.0,1049.0,5.0,50.0,54.1,43.0,4.6,65.6,14.3,49.0,39.0,214.0,5.5,1.0,8.0,42.9,20.0,2.4,13.4,79.6,4.4,268.0,4.7,1263.0,6.0,3.0,10.0,PB
4,2024,25,CHI,NFL,RB,17.0,17.0,253.0,959.0,6.0,43.0,43.9,56.0,3.8,56.4,14.9,52.0,42.0,386.0,9.2,0.0,12.0,51.9,42.0,2.5,22.7,80.8,7.4,295.0,4.6,1345.0,6.0,2.0,8.0,
5,2025,26,CHI,NFL,RB,3.0,3.0,42.0,149.0,1.0,9.0,45.2,20.0,3.5,49.7,14.0,12.0,9.0,63.0,7.0,0.0,2.0,16.7,41.0,3.0,21.0,75.0,5.3,51.0,4.2,212.0,1.0,1.0,,
6,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,76.0,51.0,888.0,3837.0,30.0,182.0,47.1,57.0,4.3,50.5,11.7,318.0,246.0,1861.0,7.6,8.0,72.0,44.7,63.0,3.2,24.5,77.4,5.9,1134.0,5.0,5698.0,38.0,12.0,39.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,199.0,858.0,7.0,41.0,47.1,57.0,4.3,50.5,11.7,71.0,55.0,416.0,7.6,2.0,16.0,44.7,63.0,3.2,24.5,77.4,5.9,254.0,5.0,1275.0,9.0,3.0,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DET (3 Yrs),DET (3 Yrs),DET (3 Yrs),DET (3 Yrs),,40.0,16.0,364.0,1680.0,18.0,80.0,45.1,57.0,4.6,42.0,9.1,205.0,156.0,1198.0,7.7,7.0,50.0,44.9,63.0,3.9,30.0,76.1,5.8,520.0,5.5,2878.0,25.0,6.0,21.0,
10,CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,20.0,20.0,295.0,1108.0,7.0,52.0,44.1,56.0,3.8,55.4,14.8,64.0,51.0,449.0,8.8,0.0,14.0,45.3,42.0,2.6,22.5,79.7,7.0,346.0,4.5,1557.0,7.0,3.0,8.0,
11,PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,16.0,15.0,229.0,1049.0,5.0,50.0,54.1,43.0,4.6,65.6,14.3,49.0,39.0,214.0,5.5,1.0,8.0,42.9,20.0,2.4,13.4,79.6,4.4,268.0,4.7,1263.0,6.0,3.0,10.0,
