,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2021,23,PIT,NFL,TE,16,9,79,60,497,8.3,7,34,55.7,24,3.8,31.1,75.9,6.3,0,0,0,0,0.0,0.0,60,8.3,497,7,1,4,
1,2022,24,PIT,NFL,TE,16,8,98,63,732,11.6,2,37,53.1,57,3.9,45.8,64.3,7.5,0,0,0,0,0.0,0.0,63,11.6,732,2,0,6,
2,2023,25,PIT,NFL,TE,12,9,47,32,308,9.6,2,17,48.9,29,2.7,25.7,68.1,6.6,0,0,0,0,0.0,0.0,32,9.6,308,2,0,3,
3,2024,26,PIT,NFL,TE,17,11,78,65,653,10.0,7,32,62.8,30,3.8,38.4,83.3,8.4,0,0,0,0,0.0,0.0,65,10.0,653,7,3,6,
4,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,61,37,302,220,2190,10.0,18,120,55.6,57,3.6,35.9,72.8,7.3,0,0,0,0,0.0,0.0,220,10.0,2190,18,4,19,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,10,84,61,610,10.0,5,33,55.6,57,3.6,35.9,72.8,7.3,0,0,0,0,0.0,0.0,61,2.8,610,5,1,5,
