,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2024,21,NYG,NFL,WR,15,13,170,109,1204,11.0,7,55,51.2,59,7.3,80.3,64.1,7.1,5,2,0,1,40.0,4,0.4,0.1,0.3,114,10.6,1206,7,1,9,"PB,AP ORoY-5"
1,1 Yr,1 Yr,1 Yr,1 Yr,,15,13,170,109,1204,11.0,7,55,51.2,59,7.3,80.3,64.1,7.1,5,2,0,1,40.0,4,0.4,0.1,0.3,114,10.6,1206,7,1,9,
2,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,15,193,124,1365,11.0,8,62,51.2,59,7.3,80.3,64.1,7.1,6,2,0,1,40.0,4,0.4,0.1,0.3,129,12.0,1367,8,1,10,
