,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2019,21,KAN,NFL,WR,3,1,6.0,4,29,7.3,0,1,33.3,13,1.3,9.7,66.7,4.8,1,-6,0,0,0.0,-6,-6.0,-2.0,0.3,5,4.6,23,0,0,
1,2020,22,KAN,NFL,WR,3,1,13.0,8,66,8.3,1,4,46.2,42,2.7,22.0,61.5,5.1,2,54,0,1,100.0,50,27.0,18.0,0.7,10,12.0,120,1,1,
2,2021,23,KAN,NFL,WR,3,1,9.0,8,121,15.1,1,5,66.7,44,2.7,40.3,88.9,13.4,6,55,1,2,83.3,25,9.2,18.3,2.0,14,12.6,176,2,1,
3,2022,24,KAN,NFL,WR,1,0,3.0,2,10,5.0,0,1,33.3,11,2.0,10.0,66.7,3.3,2,7,0,1,100.0,5,3.5,7.0,2.0,4,4.3,17,0,0,
4,2023,25,KAN,NFL,WR,4,1,7.0,5,62,12.4,1,2,42.9,52,1.3,15.5,71.4,8.9,2,-5,0,0,0.0,-1,-2.5,-1.3,0.5,7,8.1,57,1,2,
5,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,14,4,38.0,27,288,10.7,3,13,47.4,52,1.9,20.6,71.1,7.6,13,105,1,4,69.2,50,8.1,7.5,0.9,40,9.8,393,4,4,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,5,,33,350,10.7,4,16,,52,1.9,20.6,,,16,128,1,5,69.2,50,8.1,7.5,0.9,49,9.8,477,5,5,
