,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,58.0,1.0,1,2023-09-11,NYJ,,BUF,"W, 22-16 (OT)",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0.0,0,0.0,1,3.8
1,2.0,59.0,2.0,2,2023-09-17,NYJ,@,DAL,"L, 10-30",,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,14,29.8,0,0.0,0,0.0
2,3.0,60.0,3.0,3,2023-09-24,NYJ,,NWE,"L, 10-15",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,2,3.2,0,0.0,0,0.0
3,4.0,61.0,4.0,4,2023-10-01,NYJ,,KAN,"L, 20-23",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,6,10.2,0,0.0,1,3.8
4,4.0,,5.0,5,2023-10-08,NYJ,@,DEN,"W, 31-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,62.0,6.0,6,2023-10-15,NYJ,,PHI,"W, 20-14",,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,6,9.2,0,0.0,0,0.0
6,,,,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs,Player went from New York Jets to Kansas City Chiefs
7,6.0,63.0,7.0,7,2023-10-22,KAN,,LAC,"W, 31-17",,3,1,6,6.0,0,33.3,2.0,0,0,0,,0,0,0,,1,50,0,50.0,0,0,0,0,0,0,11,16.2,0,0.0,9,34.6
8,7.0,64.0,8.0,8,2023-10-29,KAN,@,DEN,"L, 9-24",,2,2,13,6.5,0,100.0,6.5,1,3,0,3.0,1,14,0,14.0,3,-3,0,-1.0,1,1,0,0,0,0,22,36.1,0,0.0,9,40.9
9,8.0,65.0,9.0,9,2023-11-05,KAN,,MIA,"W, 21-14",,3,3,10,3.3,0,100.0,3.3,0,0,0,,0,0,0,,3,14,0,4.7,0,0,0,0,0,0,13,21.7,0,0.0,10,40.0
10,9.0,66.0,10.0,11,2023-11-20,KAN,,PHI,"L, 17-21",*,2,2,12,6.0,0,100.0,6.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,16,20.3,0,0.0,2,7.7
11,9.0,,11.0,12,2023-11-26,KAN,@,LVR,"W, 31-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,9.0,,12.0,13,2023-12-03,KAN,@,GNB,"L, 19-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,9.0,,13.0,14,2023-12-10,KAN,,BUF,"L, 17-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,9.0,,14.0,15,2023-12-17,KAN,@,NWE,"W, 27-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,9.0,,15.0,16,2023-12-25,KAN,,LVR,"L, 14-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,10.0,67.0,16.0,17,2023-12-31,KAN,,CIN,"W, 25-17",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,5,9.3,0,0.0,0,0.0
17,11.0,68.0,17.0,18,2024-01-07,KAN,@,LAC,"W, 13-12",*,11,6,77,12.8,0,54.5,7.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
18,,,,,,,,,6-5,,24,15,124,8.3,0,62.5,5.2,1,3,0,3.0,1,14,0,14.0,7,61,0,8.7,1,1,0,0,0,0,153,22.9,0,0.0,32,11.2
