,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-11,NOR,@,ATL,"W, 27-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2022-09-18,NOR,,TAM,"L, 10-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,,3.0,3.0,2022-09-25,NOR,@,CAR,"L, 14-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,,4.0,4.0,2022-10-02,NOR,,MIN,"L, 25-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,,5.0,5.0,2022-10-09,NOR,,SEA,"W, 39-32",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,1.0,1.0,6.0,6.0,2022-10-16,NOR,,CIN,"L, 26-30",,1,0,0,,0,0.0,0.0,1,44,1,44.0,1,20,0,20.0,1,6,0,6.0,0,0,0,0,0,0,9,12.5,0,0.0,8,27.6
6,2.0,2.0,7.0,7.0,2022-10-20,NOR,@,ARI,"L, 34-42",,1,1,53,53.0,1,100.0,53.0,0,0,0,,1,23,0,23.0,2,28,0,14.0,0,0,0,0,0,0,10,13.9,0,0.0,12,37.5
7,3.0,3.0,8.0,8.0,2022-10-30,NOR,,LVR,"W, 24-0",*,3,3,38,12.7,0,100.0,12.7,0,0,0,,0,0,0,,2,15,0,7.5,0,0,0,0,0,0,15,23.4,0,0.0,7,36.8
8,4.0,4.0,9.0,9.0,2022-11-07,NOR,,BAL,"L, 13-27",,0,0,0,,0,,,0,0,0,,2,33,0,16.5,1,8,0,8.0,0,0,0,0,0,0,5,9.8,0,0.0,10,38.5
9,5.0,5.0,10.0,10.0,2022-11-13,NOR,@,PIT,"L, 10-20",,1,1,12,12.0,0,100.0,12.0,0,0,0,,4,93,0,23.3,0,0,0,,0,0,0,0,0,0,6,12.8,0,0.0,8,33.3
10,6.0,6.0,11.0,11.0,2022-11-20,NOR,,LAR,"W, 27-20",,2,1,8,8.0,0,50.0,4.0,0,0,0,,0,0,0,,4,40,0,10.0,0,0,0,0,0,0,28,49.1,0,0.0,10,32.3
11,7.0,7.0,12.0,12.0,2022-11-27,NOR,@,SFO,"L, 0-13",,3,2,53,26.5,0,66.7,17.7,1,6,0,6.0,2,47,0,23.5,2,18,0,9.0,0,0,0,0,0,0,30,52.6,0,0.0,8,47.1
12,8.0,8.0,13.0,13.0,2022-12-05,NOR,@,TAM,"L, 16-17",*,4,4,75,18.8,0,100.0,18.8,1,0,0,0.0,1,30,0,30.0,2,59,0,29.5,1,0,0,0,0,0,36,61.0,0,0.0,9,33.3
13,9.0,9.0,14.0,15.0,2022-12-18,NOR,,ATL,"W, 21-18",*,4,3,95,31.7,1,75.0,23.8,0,0,0,,0,0,0,,2,1,0,0.5,0,0,0,0,0,0,39,70.9,0,0.0,9,40.9
14,10.0,10.0,15.0,16.0,2022-12-24,NOR,@,CLE,"W, 17-10",*,5,4,41,10.3,0,80.0,8.2,0,0,0,,2,47,0,23.5,1,0,0,0.0,0,0,0,0,0,0,23,42.6,0,0.0,8,36.4
15,11.0,11.0,16.0,17.0,2023-01-01,NOR,@,PHI,"W, 20-10",*,6,6,79,13.2,0,100.0,13.2,0,0,0,,1,27,0,27.0,3,18,0,6.0,0,0,0,0,0,0,47,68.1,0,0.0,9,34.6
16,12.0,12.0,17.0,18.0,2023-01-08,NOR,,CAR,"L, 7-10",*,4,3,34,11.3,0,75.0,8.5,1,7,0,7.0,0,0,0,,0,0,0,,0,0,0,0,0,0,50,83.3,0,0.0,8,40.0
17,,,,,,,,,5-7,,34,28,488,17.4,2,82.4,14.4,4,57,1,14.3,14,320,0,22.9,20,193,0,9.7,1,0,0,0,0,0,298,41.6,0,0.0,106,35.9
