,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,24,GNB,NFL,WR,16.0,10.0,73.0,38.0,581.0,15.3,2.0,23.0,43.8,60.0,2.4,36.3,52.1,8.0,2.0,29.0,0.0,2.0,100.0,21.0,14.5,1.8,0.1,40.0,15.3,610.0,2.0,0.0,4.0,
1,2019,25,GNB,NFL,WR,16.0,10.0,56.0,26.0,452.0,17.4,2.0,14.0,32.1,74.0,1.6,28.3,46.4,8.1,2.0,9.0,0.0,0.0,50.0,9.0,4.5,0.6,0.1,28.0,16.5,461.0,2.0,0.0,4.0,
2,2020,26,GNB,NFL,WR,16.0,12.0,63.0,33.0,690.0,20.9,6.0,27.0,49.2,78.0,2.1,43.1,52.4,11.0,4.0,13.0,0.0,1.0,25.0,9.0,3.3,0.8,0.3,37.0,19.0,703.0,6.0,1.0,8.0,
3,2021,27,GNB,NFL,WR,11.0,7.0,55.0,26.0,430.0,16.5,3.0,18.0,38.2,75.0,2.4,39.1,47.3,7.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,26.0,16.5,430.0,3.0,0.0,4.0,
4,2022,28,KAN,NFL,WR,17.0,11.0,81.0,42.0,687.0,16.4,2.0,32.0,48.1,57.0,2.5,40.4,51.9,8.5,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.2,0.1,43.0,15.9,684.0,2.0,0.0,6.0,
5,2023,29,KAN,NFL,WR,16.0,10.0,42.0,21.0,315.0,15.0,1.0,14.0,40.5,46.0,1.3,19.7,50.0,7.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,21.0,15.0,315.0,1.0,1.0,3.0,
6,2024,30,2TM,NFL,WR,14.0,8.0,44.0,19.0,411.0,21.6,4.0,14.0,36.4,71.0,1.4,29.4,43.2,9.3,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.3,0.1,20.0,20.8,415.0,4.0,0.0,3.0,
7,2024,30,BUF,NFL,WR,6.0,0.0,9.0,2.0,26.0,13.0,0.0,1.0,22.2,19.0,0.3,4.3,22.2,2.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,13.0,26.0,0.0,0.0,0.0,
8,2024,30,NOR,NFL,WR,8.0,8.0,35.0,17.0,385.0,22.6,4.0,13.0,40.0,71.0,2.1,48.1,48.6,11.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.5,0.1,18.0,21.6,389.0,4.0,0.0,3.0,
9,2025,31,SFO,NFL,WR,3.0,0.0,2.0,1.0,9.0,9.0,0.0,0.0,50.0,9.0,0.3,3.0,50.0,4.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,9.0,9.0,0.0,0.0,,
10,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,109.0,68.0,416.0,206.0,3575.0,17.4,20.0,142.0,42.1,78.0,1.9,32.8,49.5,8.6,10.0,52.0,0.0,3.0,40.0,21.0,5.2,0.5,0.1,216.0,16.8,3627.0,20.0,2.0,32.0,
11,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,65.0,32.0,558.0,17.4,3.0,22.0,42.1,78.0,1.9,32.8,49.5,8.6,2.0,8.0,0.0,0.0,40.0,21.0,5.2,0.5,0.1,34.0,16.8,566.0,3.0,0.0,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GNB (4 Yrs),GNB (4 Yrs),GNB (4 Yrs),GNB (4 Yrs),,59.0,39.0,247.0,123.0,2153.0,17.5,13.0,82.0,41.3,78.0,2.1,36.5,49.8,8.7,8.0,51.0,0.0,3.0,50.0,21.0,6.4,0.9,0.1,131.0,16.8,2204.0,13.0,1.0,20.0,
14,KAN (2 Yrs),KAN (2 Yrs),KAN (2 Yrs),KAN (2 Yrs),,33.0,21.0,123.0,63.0,1002.0,15.9,3.0,46.0,45.5,57.0,1.9,30.4,51.2,8.1,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.1,0.0,64.0,15.6,999.0,3.0,1.0,9.0,
15,NOR (1 Yr),NOR (1 Yr),NOR (1 Yr),NOR (1 Yr),,8.0,8.0,35.0,17.0,385.0,22.6,4.0,13.0,40.0,71.0,2.1,48.1,48.6,11.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.5,0.1,18.0,21.6,389.0,4.0,0.0,3.0,
16,BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),,6.0,0.0,9.0,2.0,26.0,13.0,0.0,1.0,22.2,19.0,0.3,4.3,22.2,2.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,13.0,26.0,0.0,0.0,0.0,
17,SFO (1 Yr),SFO (1 Yr),SFO (1 Yr),SFO (1 Yr),,3.0,0.0,2.0,1.0,9.0,9.0,0.0,0.0,50.0,9.0,0.3,3.0,50.0,4.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,9.0,9.0,0.0,0.0,,
