,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,23,CLE,NFL,RB,16.0,9.0,192.0,996.0,8.0,47.0,47.9,92.0,5.2,62.3,12.0,29.0,20.0,149.0,7.5,2.0,5.0,41.4,24.0,1.3,9.3,69.0,5.1,212.0,5.4,1145.0,10.0,0.0,6.0,
1,2019,24,CLE,NFL,RB,16.0,16.0,298.0,1494.0,8.0,62.0,43.6,88.0,5.0,93.4,18.6,49.0,36.0,278.0,7.7,0.0,13.0,42.9,32.0,2.3,17.4,73.5,5.7,334.0,5.3,1772.0,8.0,3.0,12.0,PB
2,2020,25,CLE,NFL,RB,12.0,12.0,190.0,1067.0,12.0,56.0,51.6,59.0,5.6,88.9,15.8,18.0,16.0,150.0,9.4,0.0,6.0,61.1,26.0,1.3,12.5,88.9,8.3,206.0,5.9,1217.0,12.0,1.0,9.0,PB
3,2021,26,CLE,NFL,RB,14.0,14.0,228.0,1259.0,8.0,61.0,49.1,70.0,5.5,89.9,16.3,25.0,20.0,174.0,8.7,1.0,9.0,52.0,40.0,1.4,12.4,80.0,7.0,248.0,5.8,1433.0,9.0,2.0,10.0,PB
4,2022,27,CLE,NFL,RB,17.0,17.0,302.0,1525.0,12.0,69.0,50.0,41.0,5.0,89.7,17.8,37.0,27.0,239.0,8.9,1.0,12.0,51.4,26.0,1.6,14.1,73.0,6.5,329.0,5.4,1764.0,13.0,1.0,12.0,"PB,AP-2"
5,2023,28,CLE,NFL,RB,2.0,2.0,28.0,170.0,0.0,8.0,57.1,20.0,6.1,85.0,14.0,4.0,4.0,21.0,5.3,0.0,1.0,50.0,10.0,2.0,10.5,100.0,5.3,32.0,6.0,191.0,0.0,0.0,1.0,
6,2024,29,CLE,NFL,RB,8.0,8.0,102.0,332.0,3.0,17.0,41.2,19.0,3.3,41.5,12.8,11.0,5.0,31.0,6.2,1.0,3.0,27.3,19.0,0.6,3.9,45.5,2.8,107.0,3.4,363.0,4.0,1.0,2.0,AP CPoY-8
7,2025,30,HOU,NFL,RB,3.0,3.0,34.0,141.0,1.0,7.0,47.1,25.0,4.1,47.0,11.3,7.0,5.0,31.0,6.2,0.0,1.0,28.6,27.0,1.7,10.3,71.4,4.4,39.0,4.4,172.0,1.0,0.0,,
8,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,88.0,81.0,1374.0,6984.0,52.0,327.0,47.8,92.0,5.1,79.4,15.6,180.0,133.0,1073.0,8.1,5.0,50.0,46.1,40.0,1.5,12.2,73.9,6.0,1507.0,5.3,8057.0,57.0,8.0,52.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,265.0,1349.0,10.0,63.0,47.8,92.0,5.1,79.4,15.6,35.0,26.0,207.0,8.1,1.0,10.0,46.1,40.0,1.5,12.2,73.9,6.0,291.0,5.3,1556.0,11.0,2.0,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CLE (7 Yrs),CLE (7 Yrs),CLE (7 Yrs),CLE (7 Yrs),,85.0,78.0,1340.0,6843.0,51.0,320.0,47.8,92.0,5.1,80.5,15.8,173.0,128.0,1042.0,8.1,5.0,49.0,46.8,40.0,1.5,12.3,74.0,6.0,1468.0,5.4,7885.0,56.0,8.0,52.0,
12,HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,3.0,3.0,34.0,141.0,1.0,7.0,47.1,25.0,4.1,47.0,11.3,7.0,5.0,31.0,6.2,0.0,1.0,28.6,27.0,1.7,10.3,71.4,4.4,39.0,4.4,172.0,1.0,0.0,,
