,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD
0,1.0,157.0,1.0,1.0,1995-09-03,SFO,@,NOR,"W, 24-22",*,9,6,87,14.5,1,66.7,9.7,1,5,0,5.0,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
1,2.0,158.0,2.0,2.0,1995-09-10,SFO,,ATL,"W, 41-10",*,14,11,167,15.2,2,78.6,11.9,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
2,3.0,159.0,3.0,3.0,1995-09-17,SFO,,NWE,"W, 28-3",*,9,6,87,14.5,2,66.7,9.7,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
3,4.0,160.0,4.0,4.0,1995-09-25,SFO,@,DET,"L, 24-27",*,13,11,181,16.5,0,84.6,13.9,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
4,5.0,161.0,5.0,5.0,1995-10-01,SFO,,NYG,"W, 20-6",*,13,7,71,10.1,1,53.8,5.5,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
5,6.0,162.0,6.0,7.0,1995-10-15,SFO,@,IND,"L, 17-18",*,8,6,43,7.2,1,75.0,5.4,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
6,7.0,163.0,7.0,8.0,1995-10-22,SFO,@,STL,"W, 44-10",*,5,2,21,10.5,1,40.0,4.2,1,20,1,20.0,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
7,8.0,164.0,8.0,9.0,1995-10-29,SFO,,NOR,"L, 7-11",*,13,8,108,13.5,0,61.5,8.3,1,0,0,0.0,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
8,9.0,165.0,9.0,10.0,1995-11-05,SFO,,CAR,"L, 7-13",*,13,8,111,13.9,0,61.5,8.5,1,1,0,1.0,0,0,,0,0,0,,,,0,,1,1,0,0,0,0
9,10.0,166.0,10.0,11.0,1995-11-12,SFO,@,DAL,"W, 38-20",*,9,5,161,32.2,1,55.6,17.9,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
10,11.0,167.0,11.0,12.0,1995-11-20,SFO,@,MIA,"W, 44-20",*,10,8,149,18.6,2,80.0,14.9,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
11,12.0,168.0,12.0,13.0,1995-11-26,SFO,,STL,"W, 41-13",*,11,7,67,9.6,1,63.6,6.1,0,0,0,,0,0,,0,0,0,,,,0,,1,1,0,0,0,0
12,13.0,169.0,13.0,14.0,1995-12-03,SFO,,BUF,"W, 27-17",*,7,5,32,6.4,0,71.4,4.6,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
13,14.0,170.0,14.0,15.0,1995-12-10,SFO,@,CAR,"W, 31-10",*,9,6,121,20.2,0,66.7,13.4,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0,0
14,15.0,171.0,15.0,16.0,1995-12-18,SFO,,MIN,"W, 37-30",*,16,14,289,20.6,3,87.5,18.1,1,10,0,10.0,0,0,,0,0,0,,,,0,,1,1,0,0,0,0
15,16.0,172.0,16.0,17.0,1995-12-24,SFO,@,ATL,"L, 27-28",*,17,12,153,12.8,0,70.6,9.0,0,0,0,,1,1,100.0,41,1,0,41.0,61.0,158.3,0,0.0,0,0,0,1,0,1
16,,,,,,,,,11-5,,176,122,1848,15.1,15,69.3,10.5,5,36,1,7.2,1,1,100.0,41,1,0,41.0,61.0,158.3,0,0.0,3,3,0,1,0,1
