,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FF,FR,Yds.2,FRTD
0,1.0,109.0,1.0,1.0,1992-09-06,SFO,@,NYG,"W, 31-14",*,9,5,56,11.2,0,55.6,6.2,1,0,0,0.0,0,0,0,0,0
1,2.0,110.0,2.0,2.0,1992-09-13,SFO,,BUF,"L, 31-34",*,4,3,26,8.7,0,75.0,6.5,0,0,0,,0,0,0,0,0
2,3.0,111.0,3.0,3.0,1992-09-20,SFO,@,NYJ,"W, 31-14",*,7,5,73,14.6,1,71.4,10.4,1,23,0,23.0,0,0,0,0,0
3,4.0,112.0,4.0,4.0,1992-09-27,SFO,@,NOR,"W, 16-10",*,6,2,5,2.5,0,33.3,0.8,1,-5,0,-5.0,1,0,0,0,0
4,5.0,113.0,5.0,5.0,1992-10-04,SFO,,RAM,"W, 27-24",*,10,5,57,11.4,0,50.0,5.7,0,0,0,,0,0,0,0,0
5,6.0,114.0,6.0,6.0,1992-10-11,SFO,@,NWE,"W, 24-12",*,7,3,60,20.0,1,42.9,8.6,0,0,0,,0,0,0,0,0
6,7.0,115.0,7.0,7.0,1992-10-18,SFO,,ATL,"W, 56-17",*,11,7,183,26.1,2,63.6,16.6,1,26,1,26.0,0,0,0,0,0
7,8.0,116.0,8.0,9.0,1992-11-01,SFO,@,PHO,"L, 14-24",*,9,6,87,14.5,0,66.7,9.7,2,2,0,1.0,0,0,0,0,0
8,9.0,117.0,9.0,10.0,1992-11-09,SFO,@,ATL,"W, 41-3",*,5,4,45,11.3,1,80.0,9.0,0,0,0,,0,0,0,0,0
9,10.0,118.0,10.0,11.0,1992-11-15,SFO,,NOR,"W, 21-20",*,14,8,68,8.5,0,57.1,4.9,0,0,0,,0,0,0,0,0
10,11.0,119.0,11.0,12.0,1992-11-22,SFO,@,RAM,"W, 27-10",*,8,4,93,23.3,1,50.0,11.6,1,6,0,6.0,0,0,0,0,0
11,12.0,120.0,12.0,13.0,1992-11-29,SFO,,PHI,"W, 20-14",*,10,8,133,16.6,1,80.0,13.3,0,0,0,,0,0,0,0,0
12,13.0,121.0,13.0,14.0,1992-12-06,SFO,,MIA,"W, 27-3",*,9,7,79,11.3,1,77.8,8.8,1,10,0,10.0,0,0,0,0,0
13,14.0,122.0,14.0,15.0,1992-12-13,SFO,@,MIN,"W, 20-17",*,6,5,56,11.2,0,83.3,9.3,0,0,0,,0,0,0,0,0
14,15.0,123.0,15.0,16.0,1992-12-19,SFO,,TAM,"W, 21-14",*,13,7,118,16.9,2,53.8,9.1,1,-4,0,-4.0,1,0,0,0,0
15,16.0,124.0,16.0,17.0,1992-12-28,SFO,,DET,"W, 24-6",*,11,5,62,12.4,0,45.5,5.6,0,0,0,,0,0,0,0,0
16,,,,,,,,,14-2,,139,84,1201,14.3,10,60.4,8.6,9,58,1,6.4,2,0,0,0,0
