,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FF,FR,Yds.2,FRTD
0,1.0,77.0,1.0,1.0,1990-09-10,SFO,@,NOR,"W, 13-12",*,4,2,26,13.0,0,50.0,6.5,0,0,0,,0,0,0,0,0
1,2.0,78.0,2.0,2.0,1990-09-16,SFO,,WAS,"W, 26-13",*,14,6,74,12.3,1,42.9,5.3,0,0,0,,0,0,0,0,0
2,3.0,79.0,3.0,3.0,1990-09-23,SFO,,ATL,"W, 19-13",*,12,8,171,21.4,1,66.7,14.3,0,0,0,,0,0,0,0,0
3,4.0,80.0,4.0,5.0,1990-10-07,SFO,@,HOU,"W, 24-21",*,10,6,78,13.0,1,60.0,7.8,1,2,0,2.0,0,0,0,0,0
4,5.0,81.0,5.0,6.0,1990-10-14,SFO,@,ATL,"W, 45-35",*,22,13,225,17.3,5,59.1,10.2,0,0,0,,0,0,0,0,0
5,6.0,82.0,6.0,7.0,1990-10-21,SFO,,PIT,"W, 27-7",*,8,3,31,10.3,0,37.5,3.9,0,0,0,,0,0,0,0,0
6,7.0,83.0,7.0,8.0,1990-10-28,SFO,,CLE,"W, 20-17",*,12,6,67,11.2,1,50.0,5.6,0,0,0,,0,0,0,0,0
7,8.0,84.0,8.0,9.0,1990-11-04,SFO,@,GNB,"W, 24-20",*,11,6,187,31.2,1,54.5,17.0,0,0,0,,0,0,0,0,0
8,9.0,85.0,9.0,10.0,1990-11-11,SFO,@,DAL,"W, 24-6",*,18,12,147,12.3,1,66.7,8.2,0,0,0,,0,0,0,0,0
9,10.0,86.0,10.0,11.0,1990-11-18,SFO,,TAM,"W, 31-7",*,10,4,46,11.5,0,40.0,4.6,0,0,0,,0,0,0,0,0
10,11.0,87.0,11.0,12.0,1990-11-25,SFO,,RAM,"L, 17-28",*,11,7,72,10.3,0,63.6,6.5,0,0,0,,1,0,0,0,0
11,12.0,88.0,12.0,13.0,1990-12-03,SFO,,NYG,"W, 7-3",*,2,1,13,13.0,0,50.0,6.5,0,0,0,,0,0,0,0,0
12,13.0,89.0,13.0,14.0,1990-12-09,SFO,@,CIN,"W, 20-17 (OT)",*,12,8,101,12.6,0,66.7,8.4,0,0,0,,0,0,0,0,0
13,14.0,90.0,14.0,15.0,1990-12-17,SFO,@,RAM,"W, 26-10",*,7,5,104,20.8,1,71.4,14.9,0,0,0,,0,0,0,0,0
14,15.0,91.0,15.0,16.0,1990-12-23,SFO,,NOR,"L, 10-13",*,11,4,42,10.5,0,36.4,3.8,1,-2,0,-2.0,0,0,0,0,0
15,16.0,92.0,16.0,17.0,1990-12-30,SFO,@,MIN,"W, 20-17",*,12,9,118,13.1,1,75.0,9.8,0,0,0,,0,0,0,0,0
16,,,,,,,,,14-2,,176,100,1502,15.0,13,56.8,8.5,2,0,0,0.0,1,0,0,0,0
