,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,1985,23,SFO,NFL,WR,1.0,1.0,8.0,4.0,45.0,11.3,0.0,1.0,37.5,20.0,4.0,45.0,50.0,5.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,4.0,11.3,45.0,0.0,1.0,
1,1986,24,SFO,NFL,WR,1.0,1.0,6.0,3.0,48.0,16.0,0.0,2.0,50.0,24.0,3.0,48.0,50.0,8.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,16.0,48.0,0.0,1.0,
2,1987,25,SFO,NFL,WR,1.0,1.0,10.0,3.0,28.0,9.3,0.0,1.0,20.0,13.0,3.0,28.0,30.0,2.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,9.3,28.0,0.0,0.0,
3,1988,26,SFO,NFL,WR,3.0,3.0,29.0,21.0,409.0,19.5,6.0,19.0,69.0,61.0,7.0,136.3,72.4,14.1,3.0,29.0,0.0,2.0,100.0,21.0,9.7,9.7,1.0,24.0,18.3,438.0,6.0,0.0,SB MVP
4,1989,27,SFO,NFL,WR,3.0,3.0,27.0,19.0,317.0,16.7,5.0,13.0,63.0,72.0,6.3,105.7,70.4,11.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,16.7,317.0,5.0,0.0,
5,1990,28,SFO,NFL,WR,2.0,2.0,13.0,11.0,122.0,11.1,1.0,9.0,69.2,19.0,5.5,61.0,84.6,9.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,11.0,11.1,122.0,1.0,0.0,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1992,30,SFO,NFL,WR,2.0,2.0,20.0,14.0,211.0,15.1,1.0,10.0,70.0,36.0,7.0,105.5,70.0,10.6,1.0,9.0,0.0,0.0,100.0,9.0,9.0,4.5,0.5,15.0,14.7,220.0,1.0,0.0,
8,1993,31,SFO,NFL,WR,2.0,2.0,18.0,9.0,126.0,14.0,0.0,8.0,50.0,23.0,4.5,63.0,50.0,7.0,1.0,-9.0,0.0,0.0,0.0,-9.0,-9.0,-4.5,0.5,10.0,11.7,117.0,0.0,0.0,
9,1994,32,SFO,NFL,WR,3.0,3.0,27.0,16.0,233.0,14.6,4.0,13.0,55.6,44.0,5.3,77.7,59.3,8.6,1.0,10.0,0.0,1.0,100.0,10.0,10.0,3.3,0.3,17.0,14.3,243.0,4.0,0.0,
10,1995,33,SFO,NFL,WR,1.0,1.0,17.0,11.0,117.0,10.6,0.0,7.0,58.8,32.0,11.0,117.0,64.7,6.9,1.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,12.0,10.2,122.0,0.0,0.0,
11,1996,34,SFO,NFL,WR,2.0,2.0,13.0,9.0,86.0,9.6,1.0,5.0,53.8,36.0,4.5,43.0,69.2,6.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,9.0,9.6,86.0,1.0,0.0,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1998,36,SFO,NFL,WR,2.0,2.0,11.0,4.0,69.0,17.3,1.0,3.0,27.3,38.0,2.0,34.5,36.4,6.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,4.0,17.3,69.0,1.0,0.0,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2001,39,OAK,NFL,WR,2.0,2.0,19.0,13.0,231.0,17.8,1.0,12.0,63.2,47.0,6.5,115.5,68.4,12.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,13.0,17.8,231.0,1.0,0.0,
16,2002,40,OAK,NFL,WR,3.0,3.0,20.0,14.0,203.0,14.5,2.0,11.0,65.0,48.0,4.7,67.7,70.0,10.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,14.0,14.5,203.0,2.0,1.0,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2004,42,SEA,NFL,WR,1.0,1.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
19,15 Yrs,15 Yrs,15 Yrs,15 Yrs,,29.0,29.0,238.0,151.0,2245.0,14.9,22.0,114.0,57.6,72.0,5.2,77.4,63.4,9.4,7.0,44.0,0.0,3.0,71.4,21.0,6.3,1.5,0.2,158.0,14.5,2289.0,22.0,3.0,
20,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,,89.0,1316.0,14.9,13.0,67.0,,72.0,5.2,77.4,,,4.0,26.0,0.0,2.0,71.4,21.0,6.3,1.5,0.2,93.0,14.5,1342.0,13.0,2.0,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,SFO (12 Yrs),SFO (12 Yrs),SFO (12 Yrs),SFO (12 Yrs),,23.0,23.0,199.0,124.0,1811.0,14.6,19.0,91.0,56.3,72.0,5.4,78.7,62.3,9.1,7.0,44.0,0.0,3.0,71.4,21.0,6.3,1.9,0.3,131.0,14.2,1855.0,19.0,2.0,
23,OAK (2 Yrs),OAK (2 Yrs),OAK (2 Yrs),OAK (2 Yrs),,5.0,5.0,39.0,27.0,434.0,16.1,3.0,23.0,64.1,48.0,5.4,86.8,69.2,11.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,27.0,16.1,434.0,3.0,1.0,
24,SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),,1.0,1.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
