,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FF,FR,Yds.2,FRTD
0,1.0,125.0,1.0,1.0,1993-09-05,SFO,@,PIT,"W, 24-13",*,11,8,78,9.8,2,72.7,7.1,0,0,0,,0,0,0,0,0
1,2.0,126.0,2.0,2.0,1993-09-13,SFO,@,CLE,"L, 13-23",*,13,6,82,13.7,0,46.2,6.3,0,0,0,,0,0,0,0,0
2,3.0,127.0,3.0,3.0,1993-09-19,SFO,,ATL,"W, 37-30",*,6,3,33,11.0,0,50.0,5.5,1,43,1,43.0,0,0,0,0,0
3,4.0,128.0,4.0,4.0,1993-09-26,SFO,@,NOR,"L, 13-16",*,11,7,95,13.6,0,63.6,8.6,0,0,0,,0,0,0,0,0
4,5.0,129.0,5.0,5.0,1993-10-03,SFO,,MIN,"W, 38-19",*,4,2,60,30.0,1,50.0,15.0,0,0,0,,0,0,0,0,0
5,6.0,130.0,6.0,7.0,1993-10-17,SFO,@,DAL,"L, 17-26",*,9,7,82,11.7,0,77.8,9.1,1,17,0,17.0,0,0,0,0,0
6,7.0,131.0,7.0,8.0,1993-10-24,SFO,,PHO,"W, 28-14",*,10,9,155,17.2,2,90.0,15.5,0,0,0,,0,0,0,0,0
7,8.0,132.0,8.0,9.0,1993-10-31,SFO,,RAM,"W, 40-17",*,10,6,63,10.5,0,60.0,6.3,0,0,0,,1,0,1,0,0
8,9.0,133.0,9.0,11.0,1993-11-14,SFO,@,TAM,"W, 45-21",*,11,8,172,21.5,4,72.7,15.6,0,0,0,,0,0,0,0,0
9,10.0,134.0,10.0,12.0,1993-11-22,SFO,,NOR,"W, 42-7",*,6,4,62,15.5,2,66.7,10.3,0,0,0,,0,0,0,0,0
10,11.0,135.0,11.0,13.0,1993-11-28,SFO,@,RAM,"W, 35-10",*,10,8,166,20.8,2,80.0,16.6,0,0,0,,0,0,0,0,0
11,12.0,136.0,12.0,14.0,1993-12-05,SFO,,CIN,"W, 21-8",*,9,4,82,20.5,0,44.4,9.1,1,9,0,9.0,0,0,0,0,0
12,13.0,137.0,13.0,15.0,1993-12-11,SFO,@,ATL,"L, 24-27",*,11,6,105,17.5,0,54.5,9.5,0,0,0,,2,0,0,0,0
13,14.0,138.0,14.0,16.0,1993-12-19,SFO,@,DET,"W, 55-17",*,5,4,132,33.0,1,80.0,26.4,0,0,0,,0,0,0,0,0
14,15.0,139.0,15.0,17.0,1993-12-25,SFO,,HOU,"L, 7-10",*,16,10,83,8.3,0,62.5,5.2,0,0,0,,0,0,0,0,0
15,16.0,140.0,16.0,18.0,1994-01-03,SFO,,PHI,"L, 34-37 (OT)",*,11,6,53,8.8,1,54.5,4.8,0,0,0,,0,0,0,0,0
16,,,,,,,,,10-6,,153,98,1503,15.3,15,64.1,9.8,3,69,1,23.0,3,0,1,0,0
