,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD
0,1.0,141.0,1.0,1.0,1994-09-05,SFO,,RAI,"W, 44-14",*,10,7,169,24.1,2,70.0,16.9,1,23,1,23.0,0,0,0,0,0,0
1,2.0,142.0,2.0,2.0,1994-09-11,SFO,@,KAN,"L, 17-24",*,6,5,78,15.6,0,83.3,13.0,0,0,0,,0,0,0,0,0,0
2,3.0,143.0,3.0,3.0,1994-09-18,SFO,@,RAM,"W, 34-19",*,14,11,147,13.4,1,78.6,10.5,1,13,0,13.0,0,0,0,0,0,0
3,4.0,144.0,4.0,4.0,1994-09-25,SFO,,NOR,"W, 24-13",*,11,5,63,12.6,2,45.5,5.7,0,0,0,,0,0,0,0,0,0
4,5.0,145.0,5.0,5.0,1994-10-02,SFO,,PHI,"L, 8-40",*,10,6,66,11.0,0,60.0,6.6,0,0,0,,0,0,0,0,0,0
5,6.0,146.0,6.0,6.0,1994-10-09,SFO,@,DET,"W, 27-21",*,6,5,36,7.2,0,83.3,6.0,1,-3,0,-3.0,0,0,0,0,0,0
6,7.0,147.0,7.0,7.0,1994-10-16,SFO,@,ATL,"W, 42-3",*,7,6,65,10.8,1,85.7,9.3,0,0,0,,0,0,0,0,0,0
7,8.0,148.0,8.0,8.0,1994-10-23,SFO,,TAM,"W, 41-16",*,4,4,57,14.3,0,100.0,14.3,0,0,0,,0,0,0,0,0,0
8,9.0,149.0,9.0,10.0,1994-11-06,SFO,@,WAS,"W, 37-22",*,11,3,90,30.0,0,27.3,8.2,1,28,1,28.0,0,0,0,0,0,0
9,10.0,150.0,10.0,11.0,1994-11-13,SFO,,DAL,"W, 21-14",*,6,5,93,18.6,1,83.3,15.5,1,11,0,11.0,0,0,0,0,0,0
10,11.0,151.0,11.0,12.0,1994-11-20,SFO,,RAM,"W, 31-27",*,21,16,165,10.3,3,76.2,7.9,1,3,0,3.0,1,1,0,0,0,0
11,12.0,152.0,12.0,13.0,1994-11-28,SFO,@,NOR,"W, 35-14",*,8,7,80,11.4,0,87.5,10.0,0,0,0,,0,0,0,0,0,0
12,13.0,153.0,13.0,14.0,1994-12-04,SFO,,ATL,"W, 50-14",*,9,7,92,13.1,1,77.8,10.2,0,0,0,,0,0,0,0,0,0
13,14.0,154.0,14.0,15.0,1994-12-11,SFO,@,SDG,"W, 38-15",*,12,12,144,12.0,0,100.0,12.0,1,18,0,18.0,0,0,0,0,0,0
14,15.0,155.0,15.0,16.0,1994-12-17,SFO,,DEN,"W, 42-19",*,12,9,121,13.4,1,75.0,10.1,0,0,0,,0,0,0,0,0,0
15,16.0,156.0,16.0,17.0,1994-12-26,SFO,@,MIN,"L, 14-21",*,4,4,33,8.3,1,100.0,8.3,0,0,0,,0,0,0,0,0,0
16,,,,,,,,,13-3,,151,112,1499,13.4,13,74.2,9.9,7,93,2,13.3,1,1,0,0,0,0
