,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A
0,1.0,61.0,1.0,1.0,1989-09-10,SFO,@,IND,"W, 30-24",*,12,6,163,27.2,1,50.0,13.6,1,17,0,17.0
1,2.0,62.0,2.0,2.0,1989-09-17,SFO,@,TAM,"W, 20-16",*,14,8,122,15.3,1,57.1,8.7,1,11,0,11.0
2,3.0,63.0,3.0,3.0,1989-09-24,SFO,@,PHI,"W, 38-28",*,8,6,164,27.3,2,75.0,20.5,1,3,0,3.0
3,4.0,64.0,4.0,4.0,1989-10-01,SFO,,RAM,"L, 12-13",*,6,2,36,18.0,0,33.3,6.0,1,-11,0,-11.0
4,5.0,65.0,5.0,5.0,1989-10-08,SFO,@,NOR,"W, 24-20",*,10,7,149,21.3,1,70.0,14.9,0,0,0,
5,6.0,66.0,6.0,6.0,1989-10-15,SFO,@,DAL,"W, 31-14",*,4,2,28,14.0,1,50.0,7.0,0,0,0,
6,7.0,67.0,7.0,7.0,1989-10-22,SFO,,NWE,"W, 37-20",*,8,6,112,18.7,2,75.0,14.0,0,0,0,
7,8.0,68.0,8.0,8.0,1989-10-29,SFO,@,NYJ,"W, 23-10",*,8,5,95,19.0,1,62.5,11.9,0,0,0,
8,9.0,69.0,9.0,9.0,1989-11-06,SFO,,NOR,"W, 31-13",*,8,6,93,15.5,2,75.0,11.6,0,0,0,
9,10.0,70.0,10.0,10.0,1989-11-12,SFO,,ATL,"W, 45-3",*,4,3,81,27.0,2,75.0,20.3,0,0,0,
10,11.0,71.0,11.0,11.0,1989-11-19,SFO,,GNB,"L, 17-21",*,12,9,106,11.8,1,75.0,8.8,0,0,0,
11,12.0,72.0,12.0,12.0,1989-11-27,SFO,,NYG,"W, 34-24",*,10,7,117,16.7,1,70.0,11.7,1,13,0,13.0
12,13.0,73.0,13.0,13.0,1989-12-03,SFO,@,ATL,"W, 23-10",*,4,3,32,10.7,0,75.0,8.0,0,0,0,
13,14.0,74.0,14.0,14.0,1989-12-11,SFO,@,RAM,"W, 30-27",*,8,5,38,7.6,0,62.5,4.8,0,0,0,
14,15.0,75.0,15.0,15.0,1989-12-17,SFO,,BUF,"W, 21-10",*,5,3,46,15.3,1,60.0,9.2,0,0,0,
15,16.0,76.0,16.0,16.0,1989-12-24,SFO,,CHI,"W, 26-0",*,10,4,101,25.3,1,40.0,10.1,0,0,0,
16,,,,,,,,,14-2,,131,82,1483,18.1,17,62.6,11.3,5,33,0,6.6
