,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD
0,1.0,255.0,1.0,1.0,2002-09-08,OAK,,SEA,"W, 31-17",*,3,2,25,12.5,0,66.7,8.3,0,0,0,,0,0,0,0,0,0
1,2.0,256.0,2.0,2.0,2002-09-15,OAK,@,PIT,"W, 30-17",*,19,11,94,8.5,0,57.9,4.9,0,0,0,,0,0,0,0,0,0
2,3.0,257.0,3.0,4.0,2002-09-29,OAK,,TEN,"W, 52-25",*,7,7,144,20.6,1,100.0,20.6,1,7,0,7.0,0,0,0,0,0,0
3,4.0,258.0,4.0,5.0,2002-10-06,OAK,@,BUF,"W, 49-31",*,13,4,77,19.3,1,30.8,5.9,0,0,0,,0,0,0,0,0,0
4,5.0,259.0,5.0,6.0,2002-10-13,OAK,@,STL,"L, 13-28",*,10,7,133,19.0,0,70.0,13.3,0,0,0,,0,0,0,0,0,0
5,6.0,260.0,6.0,7.0,2002-10-20,OAK,,SDG,"L, 21-27 (OT)",*,12,9,86,9.6,1,75.0,7.2,0,0,0,,0,0,0,0,0,0
6,7.0,261.0,7.0,8.0,2002-10-27,OAK,@,KAN,"L, 10-20",*,7,5,45,9.0,0,71.4,6.4,1,12,0,12.0,1,1,0,0,0,0
7,8.0,262.0,8.0,9.0,2002-11-03,OAK,,SFO,"L, 20-23 (OT)",*,8,6,74,12.3,0,75.0,9.3,0,0,0,,0,0,0,0,0,0
8,9.0,263.0,9.0,10.0,2002-11-11,OAK,@,DEN,"W, 34-10",*,10,9,103,11.4,2,90.0,10.3,0,0,0,,0,0,0,0,0,0
9,10.0,264.0,10.0,11.0,2002-11-17,OAK,,NWE,"W, 27-20",*,9,6,65,10.8,0,66.7,7.2,0,0,0,,0,0,0,0,0,0
10,11.0,265.0,11.0,12.0,2002-11-24,OAK,@,ARI,"W, 41-20",*,15,7,110,15.7,1,46.7,7.3,0,0,0,,0,0,0,0,0,0
11,12.0,266.0,12.0,13.0,2002-12-02,OAK,,NYJ,"W, 26-20",*,7,4,66,16.5,1,57.1,9.4,1,1,0,1.0,0,0,0,0,0,0
12,13.0,267.0,13.0,14.0,2002-12-08,OAK,@,SDG,"W, 27-7",*,14,7,113,16.1,0,50.0,8.1,0,0,0,,0,0,0,0,0,0
13,14.0,268.0,14.0,15.0,2002-12-15,OAK,@,MIA,"L, 17-23",*,5,3,30,10.0,0,60.0,6.0,0,0,0,,0,0,0,0,0,0
14,15.0,269.0,15.0,16.0,2002-12-22,OAK,,DEN,"W, 28-16",*,5,3,25,8.3,0,60.0,5.0,0,0,0,,0,0,0,0,0,0
15,16.0,270.0,16.0,17.0,2002-12-28,OAK,,KAN,"W, 24-0",*,6,2,21,10.5,0,33.3,3.5,0,0,0,,0,0,0,0,0,0
16,,,,,,,,,11-5,,150,92,1211,13.2,7,61.3,8.1,3,20,0,6.7,1,1,0,0,0,0
