,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FF,FR,Yds.4,FRTD
0,1.0,17.0,1.0,1.0,1986-09-07,SFO,@,TAM,"W, 31-7",*,8,5,54,10.8,0,62.5,6.8,1,13,0,13.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
1,2.0,18.0,2.0,2.0,1986-09-14,SFO,@,RAM,"L, 13-16",*,7,6,157,26.2,1,85.7,22.4,2,1,0,0.5,0,0,,0,0,0,,,,0,,0,0,0,0,0
2,3.0,19.0,3.0,3.0,1986-09-21,SFO,,NOR,"W, 26-17",*,12,7,120,17.1,0,58.3,10.0,1,15,0,15.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
3,4.0,20.0,4.0,4.0,1986-09-28,SFO,@,MIA,"W, 31-16",,5,3,76,25.3,2,60.0,15.2,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
4,5.0,21.0,5.0,5.0,1986-10-05,SFO,,IND,"W, 35-14",*,9,6,172,28.7,3,66.7,19.1,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
5,6.0,22.0,6.0,6.0,1986-10-12,SFO,,MIN,"L, 24-27 (OT)",*,14,7,144,20.6,2,50.0,10.3,0,0,0,,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0.0,0,0,0,0,0
6,7.0,23.0,7.0,7.0,1986-10-19,SFO,@,ATL,"T, 10-10 (OT)",*,10,3,58,19.3,0,30.0,5.8,1,18,0,18.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
7,8.0,24.0,8.0,8.0,1986-10-26,SFO,@,GNB,"W, 31-17",*,7,4,49,12.3,1,57.1,7.0,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
8,9.0,25.0,9.0,9.0,1986-11-02,SFO,@,NOR,"L, 10-23",*,9,4,44,11.0,0,44.4,4.9,1,2,0,2.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
9,10.0,26.0,10.0,10.0,1986-11-09,SFO,,STL,"W, 43-17",*,5,4,156,39.0,3,80.0,31.2,0,0,0,,1,1,100.0,16,0,0,16.0,16.0,118.7,0,0.0,0,0,0,0,0
10,11.0,27.0,11.0,11.0,1986-11-17,SFO,@,WAS,"L, 6-14",*,19,12,204,17.0,0,63.2,10.7,1,9,0,9.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
11,12.0,28.0,12.0,12.0,1986-11-23,SFO,,ATL,"W, 20-0",*,7,4,47,11.8,1,57.1,6.7,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
12,13.0,29.0,13.0,13.0,1986-12-01,SFO,,NYG,"L, 17-21",*,17,9,86,9.6,1,52.9,5.1,1,1,1,1.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
13,14.0,30.0,14.0,14.0,1986-12-07,SFO,,NYJ,"W, 24-10",*,9,5,97,19.4,0,55.6,10.8,1,-2,0,-2.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
14,15.0,31.0,15.0,15.0,1986-12-14,SFO,@,NWE,"W, 29-24",*,8,4,35,8.8,0,50.0,4.4,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,0,0
15,16.0,32.0,16.0,16.0,1986-12-19,SFO,,RAM,"W, 24-14",*,6,3,71,23.7,1,50.0,11.8,1,15,0,15.0,0,0,,0,0,0,,,,0,,0,0,0,0,0
16,,,,,,,,,10-5-1,,152,86,1570,18.3,15,56.6,10.3,10,72,1,7.2,1,2,50.0,16,0,0,8.0,8.0,77.1,0,0.0,0,0,0,0,0
