,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD
0,1.0,239.0,1.0,1.0,2001-09-09,OAK,@,KAN,"W, 27-24",*,11,8,87,10.9,0,72.7,7.9,0,0,0,0,0,0
1,2.0,240.0,2.0,2.0,2001-09-23,OAK,@,MIA,"L, 15-18",,4,1,7,7.0,0,25.0,1.8,0,0,0,0,0,0
2,3.0,241.0,3.0,3.0,2001-09-30,OAK,,SEA,"W, 38-14",*,6,5,91,18.2,2,83.3,15.2,0,0,0,0,0,0
3,4.0,242.0,4.0,4.0,2001-10-07,OAK,,DAL,"W, 28-21",*,9,7,51,7.3,1,77.8,5.7,0,0,0,0,0,0
4,5.0,243.0,5.0,5.0,2001-10-14,OAK,@,IND,"W, 23-18",*,7,4,44,11.0,0,57.1,6.3,0,0,0,0,0,0
5,6.0,244.0,6.0,7.0,2001-10-28,OAK,@,PHI,"W, 20-10",*,4,2,34,17.0,0,50.0,8.5,0,0,0,0,0,0
6,7.0,245.0,7.0,8.0,2001-11-05,OAK,,DEN,"W, 38-28",*,4,3,47,15.7,0,75.0,11.8,0,0,0,0,0,0
7,8.0,246.0,8.0,9.0,2001-11-11,OAK,@,SEA,"L, 27-34",*,10,6,85,14.2,0,60.0,8.5,0,0,0,0,0,0
8,9.0,247.0,9.0,10.0,2001-11-18,OAK,,SDG,"W, 34-24",*,10,8,131,16.4,3,80.0,13.1,0,0,0,0,0,0
9,10.0,248.0,10.0,11.0,2001-11-25,OAK,@,NYG,"W, 28-10",*,4,3,65,21.7,0,75.0,16.3,0,0,0,0,0,0
10,11.0,249.0,11.0,12.0,2001-12-02,OAK,,ARI,"L, 31-34 (OT)",*,10,7,97,13.9,1,70.0,9.7,0,0,0,0,0,0
11,12.0,250.0,12.0,13.0,2001-12-09,OAK,,KAN,"W, 28-26",*,6,5,57,11.4,1,83.3,9.5,1,0,0,1,0,0
12,13.0,251.0,13.0,14.0,2001-12-15,OAK,@,SDG,"W, 13-6",*,8,6,93,15.5,1,75.0,11.6,0,0,0,0,0,0
13,14.0,252.0,14.0,15.0,2001-12-22,OAK,,TEN,"L, 10-13",*,13,6,84,14.0,0,46.2,6.5,0,0,0,0,0,0
14,15.0,253.0,15.0,16.0,2001-12-30,OAK,@,DEN,"L, 17-23",*,11,9,108,12.0,0,81.8,9.8,0,0,0,0,0,0
15,16.0,254.0,16.0,17.0,2002-01-06,OAK,,NYJ,"L, 22-24",*,8,3,58,19.3,0,37.5,7.3,0,0,0,0,0,0
16,,,,,,,,,10-6,,125,83,1139,13.7,9,66.4,9.1,1,0,0,1,0,0
