,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2020-09-14,PIT,@,NYG,"W, 26-16",*,10,6,57,9.5,0,60.0,5.7,0,0,0,,0,0,0,,3,13,0,4.3,1,1,0,0,0,0,55,85.9,0,0.0,6,23.1
1,2.0,18.0,2.0,2.0,2020-09-20,PIT,,DEN,"W, 26-21",*,13,8,92,11.5,1,61.5,7.1,0,0,0,,1,24,0,24.0,2,25,0,12.5,0,0,0,1,0,0,54,83.1,0,0.0,6,20.0
2,3.0,19.0,3.0,3.0,2020-09-27,PIT,,HOU,"W, 28-21",*,2,0,0,,0,0.0,0.0,1,9,0,9.0,0,0,0,,0,0,0,,0,0,0,0,0,0,19,23.8,0,0.0,2,7.1
3,4.0,20.0,4.0,5.0,2020-10-11,PIT,,PHI,"W, 38-29",*,1,1,-2,-2.0,0,100.0,-2.0,0,0,0,,0,0,0,,2,12,0,6.0,0,0,0,0,0,0,6,7.9,0,0.0,2,7.7
4,4.0,,5.0,6.0,2020-10-18,PIT,,CLE,"W, 38-7",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,21.0,6.0,7.0,2020-10-25,PIT,@,TEN,"W, 27-24",*,15,9,80,8.9,2,60.0,5.3,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,59,74.7,0,0.0,0,0.0
6,6.0,22.0,7.0,8.0,2020-11-01,PIT,@,BAL,"W, 28-24",*,3,1,6,6.0,0,33.3,2.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,41,75.9,0,0.0,0,0.0
7,7.0,23.0,8.0,9.0,2020-11-08,PIT,@,DAL,"W, 24-19",*,10,6,77,12.8,0,60.0,7.7,1,4,0,4.0,0,0,0,,0,0,0,,0,0,0,0,0,0,59,85.5,0,0.0,0,0.0
8,8.0,24.0,9.0,10.0,2020-11-15,PIT,,CIN,"W, 36-10",*,11,6,116,19.3,1,54.5,10.5,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,63,86.3,0,0.0,1,2.6
9,9.0,25.0,10.0,11.0,2020-11-22,PIT,@,JAX,"W, 27-3",*,16,12,111,9.3,0,75.0,6.9,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,60,80.0,0,0.0,0,0.0
10,10.0,26.0,11.0,12.0,2020-12-02,PIT,,BAL,"W, 19-14",*,13,8,46,5.8,0,61.5,3.5,0,0,0,,0,0,0,,0,0,0,,1,0,0,0,0,0,65,90.3,0,0.0,1,4.0
11,11.0,27.0,12.0,13.0,2020-12-07,PIT,,WAS,"L, 17-23",,12,8,71,8.9,1,66.7,5.9,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,57,80.3,0,0.0,0,0.0
12,12.0,28.0,13.0,14.0,2020-12-13,PIT,@,BUF,"L, 15-26",*,7,4,40,10.0,0,57.1,5.7,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,28,49.1,0,0.0,0,0.0
13,13.0,29.0,14.0,15.0,2020-12-21,PIT,@,CIN,"L, 17-27",*,13,8,59,7.4,1,61.5,4.5,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,53,81.5,0,0.0,0,0.0
14,14.0,30.0,15.0,16.0,2020-12-27,PIT,,IND,"W, 28-24",*,14,8,74,9.3,1,57.1,5.3,1,2,0,2.0,0,0,0,,1,8,0,8.0,0,0,0,1,4,0,56,82.4,0,0.0,1,3.3
15,15.0,31.0,16.0,17.0,2021-01-03,PIT,@,CLE,"L, 22-24",,4,3,96,32.0,0,75.0,24.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,58,86.6,0,0.0,0,0.0
16,,,,,,,,,11-4,,144,88,923,10.5,7,61.1,6.4,3,15,0,5.0,1,24,0,24.0,8,58,0,7.3,2,1,0,2,4,0,733,70.8,0,0.0,19,4.4
