,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2024-09-08,TAM,,WAS,"W, 37-20",,9,62,0,6.9,3,2,14,7.0,0,66.7,4.7,0,0,0,,0,0,0,0,0,0,20,31.3,0,0.0,4,14.8
1,2.0,2.0,2.0,2.0,2024-09-15,TAM,@,DET,"W, 20-16",,7,22,0,3.1,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,17,35.4,0,0.0,5,19.2
2,3.0,3.0,3.0,3.0,2024-09-22,TAM,,DEN,"L, 7-26",,9,70,0,7.8,3,3,14,4.7,0,100.0,4.7,1,27,0,27.0,0,0,0,0,0,0,18,31.6,0,0.0,4,18.2
3,4.0,4.0,4.0,4.0,2024-09-29,TAM,,PHI,"W, 33-16",,10,49,1,4.9,2,1,6,6.0,0,50.0,3.0,0,0,0,,0,0,0,0,0,0,32,41.6,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2024-10-03,TAM,@,ATL,"L, 30-36 (OT)",,9,44,0,4.9,2,2,12,6.0,0,100.0,6.0,1,39,0,39.0,1,1,0,0,0,0,23,43.4,0,0.0,3,9.4
5,6.0,6.0,6.0,6.0,2024-10-13,TAM,@,NOR,"W, 51-27",*,14,81,1,5.8,2,2,24,12.0,0,100.0,12.0,2,44,0,22.0,0,0,0,0,0,0,49,63.6,0,0.0,2,5.4
6,7.0,7.0,7.0,7.0,2024-10-21,TAM,,BAL,"L, 31-41",,9,23,1,2.6,3,3,54,18.0,0,100.0,18.0,0,0,0,,0,0,0,0,0,0,29,35.4,0,0.0,8,27.6
7,8.0,8.0,8.0,8.0,2024-10-27,TAM,,ATL,"L, 26-31",,9,44,0,4.9,7,7,40,5.7,0,100.0,5.7,0,0,0,,0,0,0,0,0,0,31,42.5,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2024-11-04,TAM,@,KAN,"L, 24-30 (OT)",,7,24,0,3.4,3,3,10,3.3,0,100.0,3.3,1,46,0,46.0,0,0,0,0,0,0,19,34.5,0,0.0,5,17.9
9,10.0,10.0,10.0,10.0,2024-11-10,TAM,,SFO,"L, 20-23",,13,73,1,5.6,3,3,14,4.7,0,100.0,4.7,0,0,0,,0,0,0,1,0,0,28,45.9,0,0.0,5,17.2
10,11.0,11.0,11.0,12.0,2024-11-24,TAM,@,NYG,"W, 30-7",,12,88,1,7.3,6,6,64,10.7,0,100.0,10.7,0,0,0,,1,0,0,1,0,0,34,52.3,0,0.0,2,10.0
11,12.0,12.0,12.0,13.0,2024-12-01,TAM,@,CAR,"W, 26-23 (OT)",,25,152,1,6.1,3,3,33,11.0,0,100.0,11.0,1,20,0,20.0,0,0,0,1,0,0,43,53.8,0,0.0,3,8.3
12,13.0,13.0,13.0,14.0,2024-12-08,TAM,,LVR,"W, 28-13",,4,3,0,0.8,1,1,15,15.0,0,100.0,15.0,0,0,0,,0,0,0,0,0,0,10,16.1,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2024-12-15,TAM,@,LAC,"W, 40-17",,15,117,0,7.8,2,2,-4,-2.0,0,100.0,-2.0,0,0,0,,0,0,0,0,0,0,32,44.4,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2024-12-22,TAM,@,DAL,"L, 24-26",,16,68,1,4.3,3,3,24,8.0,0,100.0,8.0,0,0,0,,0,0,0,0,0,0,41,56.9,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2024-12-29,TAM,,CAR,"W, 48-14",*,20,113,0,5.7,4,4,77,19.3,0,100.0,19.3,0,0,0,,0,0,0,0,0,0,42,54.5,0,0.0,0,0.0
16,17.0,17.0,17.0,18.0,2025-01-05,TAM,,NOR,"W, 27-19",*,19,89,1,4.7,5,2,-5,-2.5,0,40.0,-1.0,0,0,0,,0,0,0,0,0,0,48,71.6,0,0.0,0,0.0
17,,,,,,,,,10-7,,207,1122,8,5.4,52,47,392,8.3,0,90.4,7.5,6,176,0,29.3,2,1,0,3,0,0,516,45.2,0,0.0,41,8.6
