,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
0,2021,21,DEN,NFL,LCB/RCB,16,15,4,70,1,70,14,0,0,0,0,0,0.0,58,45,13,1,0,0,7.0,
1,2022,22,DEN,NFL,LCB,17,17,2,-3,0,0,10,1,0,0,0,0,0.0,60,46,14,2,1,0,14.0,"PB,AP-1"
2,2023,23,DEN,NFL,CB,17,17,1,0,0,0,12,0,0,0,0,0,0.0,69,59,10,0,0,0,8.0,PB
3,2024,24,DEN,NFL,LCB,16,16,4,132,1,100,11,1,0,1,0,0,0.0,45,34,11,1,0,0,15.0,"PB,AP-1,AP DPoY-1"
4,2025,25,DEN,NFL,CB,3,3,0,0,0,0,3,0,0,0,0,0,0.0,13,11,2,0,0,0,,
5,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,69,68,11,199,2,100,50,2,0,1,0,0,0.0,245,195,50,4,1,0,44.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,3,49,0,100,12,0,0,0,0,0,0.0,60,48,12,1,0,0,,
