,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-11,KAN,@,ARI,"W, 44-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2022-09-15,KAN,,LAC,"W, 27-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,2022-09-25,KAN,@,IND,"L, 17-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,,4.0,4.0,2022-10-02,KAN,@,TAM,"W, 41-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,,5.0,5.0,2022-10-10,KAN,,LVR,"W, 30-29",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,,6.0,6.0,2022-10-16,KAN,,BUF,"L, 20-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,,7.0,7.0,2022-10-23,KAN,@,SFO,"W, 44-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,,8.0,9.0,2022-11-06,KAN,,TEN,"W, 20-17 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,,9.0,10.0,2022-11-13,KAN,,JAX,"W, 27-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,,10.0,11.0,2022-11-20,KAN,@,LAC,"W, 30-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,1.0,56.0,11.0,12.0,2022-11-27,KAN,,LAR,"W, 26-10",,4,12,0,3.0,1,1,22,22.0,0,100.0,22.0,11,14.5,0,0.0,0,0.0
11,2.0,57.0,12.0,13.0,2022-12-04,KAN,@,CIN,"L, 24-27",,0,0,0,,0,0,0,,0,,,3,5.5,0,0.0,0,0.0
12,2.0,,13.0,14.0,2022-12-11,KAN,@,DEN,"W, 34-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,3.0,58.0,14.0,15.0,2022-12-18,KAN,@,HOU,"W, 30-24 (OT)",,1,6,0,6.0,0,0,0,,0,,,2,2.6,0,0.0,0,0.0
14,4.0,59.0,15.0,16.0,2022-12-24,KAN,,SEA,"W, 24-10",,1,4,0,4.0,0,0,0,,0,,,1,1.9,0,0.0,0,0.0
15,5.0,60.0,16.0,17.0,2023-01-01,KAN,,DEN,"W, 27-24",,1,3,0,3.0,0,0,0,,0,,,4,6.7,0,0.0,0,0.0
16,6.0,61.0,17.0,18.0,2023-01-07,KAN,@,LVR,"W, 31-13",,10,45,1,4.5,0,0,0,,0,,,17,28.8,0,0.0,0,0.0
17,,,,,,,,,5-1,,17,70,1,4.1,1,1,22,22.0,0,100.0,22.0,38,10.0,0,0.0,0,0.0
