,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,TD.1,1D.1,Succ%.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2020,23,TAM,NFL,RB,3.0,0.0,35.0,139.0,0.0,8.0,60.0,13.0,4.0,46.3,11.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,139.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022,25,KAN,NFL,RB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,
3,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,4.0,0.0,36.0,139.0,0.0,8.0,58.3,13.0,3.9,34.8,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.9,139.0,0.0,0.0,
4,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,0.0,153.0,591.0,0.0,34.0,58.3,13.0,3.9,34.8,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,3.9,591.0,0.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TAM (1 Yr),TAM (1 Yr),TAM (1 Yr),TAM (1 Yr),,3.0,0.0,35.0,139.0,0.0,8.0,60.0,13.0,4.0,46.3,11.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,139.0,0.0,0.0,
7,KAN (1 Yr),KAN (1 Yr),KAN (1 Yr),KAN (1 Yr),,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,
