,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,64.0,1.0,1.0,2022-09-11,TAM,@,DAL,"W, 19-3",*,21,127,0,6.0,2,2,10,5.0,0,100.0,5.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,47,75.8,0,0.0,0,0.0
1,2.0,65.0,2.0,2.0,2022-09-18,TAM,@,NOR,"W, 20-10",*,24,65,0,2.7,4,2,9,4.5,0,50.0,2.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,58,86.6,0,0.0,0,0.0
2,3.0,66.0,3.0,3.0,2022-09-25,TAM,,GNB,"L, 12-14",*,12,35,0,2.9,6,5,35,7.0,0,83.3,5.8,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,59,90.8,0,0.0,0,0.0
3,4.0,67.0,4.0,4.0,2022-10-02,TAM,,KAN,"L, 31-41",*,3,-3,0,-1.0,7,7,57,8.1,1,100.0,8.1,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,39,60.9,0,0.0,0,0.0
4,5.0,68.0,5.0,5.0,2022-10-09,TAM,,ATL,"W, 21-15",*,14,56,1,4.0,11,10,83,8.3,1,90.9,7.5,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,49,62.0,0,0.0,0,0.0
5,6.0,69.0,6.0,6.0,2022-10-16,TAM,@,PIT,"L, 18-20",*,21,63,0,3.0,6,6,38,6.3,1,100.0,6.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,59,81.9,0,0.0,0,0.0
6,7.0,70.0,7.0,7.0,2022-10-23,TAM,@,CAR,"L, 3-21",*,8,19,0,2.4,3,2,7,3.5,0,66.7,2.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,40,59.7,0,0.0,0,0.0
7,8.0,71.0,8.0,8.0,2022-10-27,TAM,,BAL,"L, 22-27",*,9,24,1,2.7,3,3,34,11.3,0,100.0,11.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,49,72.1,0,0.0,0,0.0
8,9.0,72.0,9.0,9.0,2022-11-06,TAM,,LAR,"W, 16-13",*,9,19,0,2.1,7,5,41,8.2,0,71.4,5.9,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,52,61.9,0,0.0,0,0.0
9,10.0,73.0,10.0,10.0,2022-11-13,TAM,,SEA,"W, 21-16",,14,57,1,4.1,1,1,1,1.0,0,100.0,1.0,0,1,0.0,0,0,1,0.0,-45.00,0.0,0,0,0.0,0,0,0,0,0,0,22,29.3,0,0.0,0,0.0
10,10.0,,11.0,12.0,2022-11-27,TAM,@,CLE,"L, 17-23 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,11.0,74.0,12.0,13.0,2022-12-05,TAM,,NOR,"W, 17-16",,10,49,0,4.9,7,6,32,5.3,0,85.7,4.6,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,48,60.0,0,0.0,0,0.0
12,12.0,75.0,13.0,14.0,2022-12-11,TAM,@,SFO,"L, 7-35",,4,13,0,3.3,7,6,33,5.5,0,85.7,4.7,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,36,47.4,0,0.0,0,0.0
13,13.0,76.0,14.0,15.0,2022-12-18,TAM,,CIN,"L, 23-34",,10,44,0,4.4,4,4,30,7.5,0,100.0,7.5,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,43,58.1,0,0.0,0,0.0
14,14.0,77.0,15.0,16.0,2022-12-25,TAM,@,ARI,"W, 19-16 (OT)",,20,72,0,3.6,10,9,90,10.0,0,90.0,9.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,49,60.5,0,0.0,0,0.0
15,15.0,78.0,16.0,17.0,2023-01-01,TAM,,CAR,"W, 30-24",,10,28,0,2.8,4,4,19,4.8,0,100.0,4.8,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,36,46.2,0,0.0,0,0.0
16,16.0,79.0,17.0,18.0,2023-01-08,TAM,@,ATL,"L, 17-30",,0,0,0,,1,1,4,4.0,0,100.0,4.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,3,5.5,0,0.0,0,0.0
17,,,,,,,,,8-8,,189,668,3,3.5,83,73,523,7.2,3,88.0,6.3,0,1,0.0,0,0,1,0.0,-45.00,0.0,0,0,0.0,1,1,0,0,0,0,689,60.1,0,0.0,0,0.0
