,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2014,21,DET,NFL,TE,1.0,1.0,3.0,3.0,21.0,7.0,0.0,0.0,0.0,8.0,3.0,21.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,21.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2016,23,DET,NFL,TE,1.0,1.0,6.0,2.0,23.0,11.5,0.0,2.0,33.3,12.0,2.0,23.0,33.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.5,23.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018,25,IND,NFL,TE,2.0,1.0,15.0,8.0,77.0,9.6,1.0,5.0,46.7,21.0,4.0,38.5,53.3,5.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.6,77.0,1.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020,27,PIT,NFL,TE,1.0,0.0,11.0,7.0,62.0,8.9,1.0,5.0,54.5,17.0,7.0,62.0,63.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.9,62.0,1.0,0.0,
7,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,5.0,3.0,35.0,20.0,183.0,9.2,2.0,12.0,42.9,21.0,4.0,36.6,57.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.2,183.0,2.0,0.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,10.0,119.0,68.0,622.0,9.2,7.0,41.0,42.9,21.0,4.0,36.6,57.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,9.2,622.0,7.0,0.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),,2.0,2.0,9.0,5.0,44.0,8.8,0.0,2.0,22.2,12.0,2.5,22.0,55.6,4.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.8,44.0,0.0,0.0,
11,IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,2.0,1.0,15.0,8.0,77.0,9.6,1.0,5.0,46.7,21.0,4.0,38.5,53.3,5.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.6,77.0,1.0,0.0,
12,PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),,1.0,0.0,11.0,7.0,62.0,8.9,1.0,5.0,54.5,17.0,7.0,62.0,63.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.9,62.0,1.0,0.0,
