,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,51.0,1.0,1.0,2023-09-10,CHI,,GNB,"L, 20-38",*,7,5,44,8.8,0,71.4,6.3,1,0,0,0.0,0,0,0,,0,0,0,0,0,0,72,97.3,0,0.0,2,7.1
1,2.0,52.0,2.0,2.0,2023-09-17,CHI,@,TAM,"L, 17-27",*,6,4,38,9.5,0,66.7,6.3,0,0,0,,0,0,0,,0,0,0,0,0,0,36,67.9,0,0.0,3,11.1
2,3.0,53.0,3.0,3.0,2023-09-24,CHI,@,KAN,"L, 10-41",*,2,2,22,11.0,0,100.0,11.0,0,0,0,,0,0,0,,0,0,0,0,0,0,39,76.5,0,0.0,2,8.0
3,4.0,54.0,4.0,4.0,2023-10-01,CHI,,DEN,"L, 28-31",*,9,7,85,12.1,2,77.8,9.4,1,1,0,1.0,0,0,0,,0,0,0,0,0,0,53,73.6,0,0.0,4,15.4
4,5.0,55.0,5.0,5.0,2023-10-05,CHI,@,WAS,"W, 40-20",*,5,5,42,8.4,1,100.0,8.4,0,0,0,,0,0,0,,1,0,0,1,0,0,53,82.8,0,0.0,8,26.7
5,6.0,56.0,6.0,6.0,2023-10-15,CHI,,MIN,"L, 13-19",*,3,2,9,4.5,0,66.7,3.0,0,0,0,,0,0,0,,0,0,0,0,0,0,63,95.5,0,0.0,3,11.5
6,7.0,57.0,7.0,7.0,2023-10-22,CHI,,LVR,"W, 30-12",*,0,0,0,,0,,,0,0,0,,1,0,0,0.0,0,0,0,0,0,0,63,88.7,0,0.0,6,26.1
7,8.0,58.0,8.0,8.0,2023-10-29,CHI,@,LAC,"L, 13-30",*,10,10,79,7.9,0,100.0,7.9,0,0,0,,0,0,0,,0,0,0,0,0,0,55,83.3,0,0.0,1,4.5
8,9.0,59.0,9.0,9.0,2023-11-05,CHI,@,NOR,"L, 17-24",*,8,6,55,9.2,2,75.0,6.9,0,0,0,,0,0,0,,0,0,0,0,0,0,58,85.3,0,0.0,4,16.7
9,10.0,60.0,10.0,10.0,2023-11-09,CHI,,CAR,"W, 16-13",*,7,5,45,9.0,0,71.4,6.4,1,1,0,1.0,0,0,0,,0,0,0,0,0,0,66,91.7,0,0.0,4,14.3
10,11.0,61.0,11.0,11.0,2023-11-19,CHI,@,DET,"L, 26-31",*,4,3,20,6.7,0,75.0,5.0,0,0,0,,0,0,0,,0,0,0,0,0,0,59,78.7,0,0.0,6,23.1
11,12.0,62.0,12.0,12.0,2023-11-27,CHI,@,MIN,"W, 12-10",*,7,7,43,6.1,0,100.0,6.1,0,0,0,,0,0,0,,0,0,0,0,0,0,62,88.6,0,0.0,5,25.0
12,13.0,63.0,13.0,14.0,2023-12-10,CHI,,DET,"W, 28-13",*,6,5,66,13.2,0,83.3,11.0,0,0,0,,0,0,0,,0,0,0,0,0,0,60,84.5,0,0.0,5,20.8
13,14.0,64.0,14.0,15.0,2023-12-17,CHI,@,CLE,"L, 17-20",*,7,5,23,4.6,1,71.4,3.3,0,0,0,,0,0,0,,0,0,0,0,0,0,63,86.3,0,0.0,2,5.7
14,15.0,65.0,15.0,16.0,2023-12-24,CHI,,ARI,"W, 27-16",*,5,4,107,26.8,0,80.0,21.4,0,0,0,,0,0,0,,0,0,0,0,0,0,30,42.9,0,0.0,3,10.3
15,16.0,66.0,16.0,17.0,2023-12-31,CHI,,ATL,"W, 37-17",*,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,13,17.6,0,0.0,0,0.0
16,17.0,67.0,17.0,18.0,2024-01-07,CHI,@,GNB,"L, 9-17",*,4,3,41,13.7,0,75.0,10.3,0,0,0,,0,0,0,,0,0,0,0,0,0,33,68.8,0,0.0,0,0.0
17,,,,,,,,,7-10,,90,73,719,9.8,6,81.1,8.0,3,2,0,0.7,1,0,0,0.0,1,0,0,1,0,0,878,77.2,0,0.0,58,13.1
