,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,98.0,1.0,1.0,2024-09-08,NOR,,CAR,"W, 47-10",*,5,35,0,7.0,2,1,1,1.0,0,50.0,0.5,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,31.8,0,0.0,9,30.0
1,2.0,99.0,2.0,2.0,2024-09-15,NOR,@,DAL,"W, 44-19",*,3,18,0,6.0,1,1,1,1.0,0,100.0,1.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,47.5,0,0.0,5,18.5
2,2.0,,3.0,3.0,2024-09-22,NOR,,PHI,"L, 12-15",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,100.0,4.0,4.0,2024-09-29,NOR,@,ATL,"L, 24-26",*,6,24,2,4.0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,20.3,0,0.0,2,7.1
4,3.0,,5.0,5.0,2024-10-07,NOR,@,KAN,"L, 13-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,3.0,,6.0,6.0,2024-10-13,NOR,,TAM,"L, 27-51",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,3.0,,7.0,7.0,2024-10-17,NOR,,DEN,"L, 10-33",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,4.0,101.0,8.0,8.0,2024-10-27,NOR,@,LAC,"L, 8-26",*,4,20,0,5.0,4,2,21,10.5,0,50.0,5.3,1,1,100.0,3,0,0,3.0,3.00,79.2,0,0,0,0,0,,0.0,1,1,0,1,0,0,0,0,1,0,0,0,29,39.7,0,0.0,16,47.1
8,5.0,102.0,9.0,9.0,2024-11-03,NOR,@,CAR,"L, 22-23",*,5,19,1,3.8,5,4,41,10.3,0,80.0,8.2,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,44.3,0,0.0,11,37.9
9,6.0,103.0,10.0,10.0,2024-11-10,NOR,,ATL,"W, 20-17",*,4,14,0,3.5,2,2,36,18.0,0,100.0,18.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,43.4,0,0.0,8,29.6
