,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,82.0,1.0,1.0,2023-09-10,NOR,,TEN,"W, 16-15",,3,4,0,1.3,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,9,13.8,0,0.0,8,28.6
1,2.0,83.0,2.0,2.0,2023-09-18,NOR,@,CAR,"W, 20-17",*,9,75,0,8.3,2,1,-1,-1.0,0,50.0,-0.5,1,1,100.0,8,0,0,8.0,8.00,100.0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,40.3,0,0.0,10,37.0
2,3.0,84.0,3.0,3.0,2023-09-24,NOR,@,GNB,"L, 17-18",,4,12,0,3.0,1,1,9,9.0,0,100.0,9.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18,29.5,0,0.0,12,48.0
3,4.0,85.0,4.0,4.0,2023-10-01,NOR,,TAM,"L, 9-26",*,4,10,0,2.5,1,1,7,7.0,0,100.0,7.0,1,1,100.0,13,0,0,13.0,13.00,118.7,1,3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,50.8,0,0.0,10,38.5
4,5.0,86.0,5.0,5.0,2023-10-08,NOR,@,NWE,"W, 34-0",,3,19,0,6.3,1,1,1,1.0,0,100.0,1.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,38.9,0,0.0,16,51.6
5,6.0,87.0,6.0,6.0,2023-10-15,NOR,@,HOU,"L, 13-20",*,1,2,0,2.0,8,7,49,7.0,0,87.5,6.1,1,1,100.0,4,0,0,4.0,4.00,83.3,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,59.8,0,0.0,8,30.8
6,7.0,88.0,7.0,7.0,2023-10-19,NOR,,JAX,"L, 24-31",*,5,18,1,3.6,5,4,50,12.5,0,80.0,10.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,57.8,0,0.0,10,31.3
7,8.0,89.0,8.0,8.0,2023-10-29,NOR,@,IND,"W, 38-27",*,9,63,2,7.0,1,1,14,14.0,0,100.0,14.0,1,2,50.0,44,0,0,22.0,22.00,95.8,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,43.9,0,0.0,15,44.1
8,9.0,90.0,9.0,9.0,2023-11-05,NOR,,CHI,"W, 24-17",,11,52,0,4.7,5,4,13,3.3,1,80.0,2.6,1,1,100.0,3,1,0,3.0,23.00,118.7,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,46.0,0,0.0,6,25.0
9,10.0,91.0,10.0,10.0,2023-11-12,NOR,@,MIN,"L, 19-27",*,1,6,0,6.0,4,2,17,8.5,0,50.0,4.3,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,29.9,0,0.0,12,41.4
10,11.0,92.0,11.0,12.0,2023-11-26,NOR,@,ATL,"L, 15-24",,7,26,0,3.7,2,2,55,27.5,0,100.0,27.5,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,25,34.7,0,0.0,7,29.2
11,12.0,93.0,12.0,13.0,2023-12-03,NOR,,DET,"L, 28-33",,13,59,1,4.5,2,2,15,7.5,0,100.0,7.5,0,2,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,28,41.8,0,0.0,15,50.0
12,12.0,,13.0,14.0,2023-12-10,NOR,,CAR,"W, 28-6",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,13.0,94.0,14.0,15.0,2023-12-17,NOR,,NYG,"W, 24-6",,1,1,0,1.0,1,1,4,4.0,0,100.0,4.0,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,1,18,0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,19.4,0,0.0,6,26.1
14,14.0,95.0,15.0,16.0,2023-12-21,NOR,@,LAR,"L, 22-30",,2,2,0,1.0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,16.7,0,0.0,5,20.8
