,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,27,NOR,NFL,QB,5,0,0,0,0,0,,,,0.0,0.0,0,0,0,,0,0,,,0.0,0.0,,,0,,0,0,0,0,
1,2018,28,NOR,NFL,QB,16,4,37,196,2,15,56.8,35.0,5.3,12.3,2.3,7,3,4,1.3,0,0,14.3,5.0,0.2,0.3,42.9,0.6,40,5.0,200,2,1,2,
2,2019,29,NOR,NFL,WR/QB,16,5,27,156,1,10,59.3,30.0,5.8,9.8,1.7,22,19,234,12.3,6,14,72.7,45.0,1.2,14.6,86.4,10.6,46,8.5,390,7,0,4,
3,2020,30,NOR,NFL,QB/WR,16,8,87,457,8,34,60.9,43.0,5.3,28.6,5.4,12,8,98,12.3,1,4,33.3,21.0,0.5,6.1,66.7,8.2,95,5.8,555,9,10,7,
4,2021,31,NOR,NFL,QB/WR,12,9,70,374,5,26,61.4,44.0,5.3,31.2,5.8,6,4,52,13.0,0,4,66.7,15.0,0.3,4.3,66.7,8.7,74,5.8,426,5,2,6,
5,2022,32,NOR,NFL,TE/QB,16,8,96,575,7,34,55.2,60.0,6.0,35.9,6.0,13,9,77,8.6,2,5,46.2,30.0,0.6,4.8,69.2,5.9,105,6.2,652,9,2,4,
6,2023,33,NOR,NFL,TE/QB,16,7,81,401,4,26,64.2,27.0,5.0,25.1,5.1,40,33,291,8.8,2,11,57.5,36.0,2.1,18.2,82.5,7.3,114,6.1,692,6,1,5,
7,2024,34,NOR,NFL,TE,8,8,39,278,6,18,64.1,75.0,7.1,34.8,4.9,31,23,187,8.1,0,8,48.4,34.0,2.9,23.4,74.2,6.0,62,7.5,465,6,1,3,
8,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,105,49,437,2437,33,163,60.2,75.0,5.6,23.2,4.2,131,99,943,9.5,11,46,52.7,45.0,0.9,9.0,75.6,7.2,536,6.3,3380,44,17,31,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,8,71,395,5,26,60.2,75.0,5.6,23.2,4.2,21,16,153,9.5,2,7,52.7,45.0,0.9,9.0,75.6,7.2,87,1.0,547,7,3,5,
