,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,Sfty,Fmb,FL,FF,FR,Yds,FRTD
0,1.0,140.0,1.0,1.0,1995-09-03,BUF,@,DEN,"L, 7-22",*,0.0,0,0,0,0,0,0,,0,0,0
1,2.0,141.0,2.0,2.0,1995-09-10,BUF,,CAR,"W, 31-9",*,0.0,0,0,0,0,0,0,,0,0,0
2,3.0,142.0,3.0,3.0,1995-09-17,BUF,,IND,"W, 20-14",*,0.0,0,0,0,0,0,0,,1,0,0
3,4.0,143.0,4.0,5.0,1995-10-02,BUF,@,CLE,"W, 22-19",*,1.0,0,0,0,0,0,0,0,0,0,0
4,5.0,144.0,5.0,6.0,1995-10-08,BUF,,NYJ,"W, 29-10",*,2.0,0,0,0,0,0,0,0,0,0,0
5,6.0,145.0,6.0,7.0,1995-10-15,BUF,,SEA,"W, 27-21",*,0.0,0,0,0,0,0,0,,0,0,0
6,7.0,146.0,7.0,8.0,1995-10-23,BUF,@,NWE,"L, 14-27",*,0.0,0,0,0,0,0,0,,0,0,0
7,8.0,147.0,8.0,9.0,1995-10-29,BUF,@,MIA,"L, 6-23",*,0.0,0,0,0,0,0,0,,0,0,0
8,9.0,148.0,9.0,10.0,1995-11-05,BUF,@,IND,"W, 16-10",*,0.0,0,0,0,0,0,0,,0,0,0
9,10.0,149.0,10.0,11.0,1995-11-12,BUF,,ATL,"W, 23-17",*,2.0,0,0,0,0,0,0,0,0,0,0
10,11.0,150.0,11.0,12.0,1995-11-19,BUF,@,NYJ,"W, 28-26",*,0.0,0,0,0,0,0,0,,0,0,0
11,12.0,151.0,12.0,13.0,1995-11-26,BUF,,NWE,"L, 25-35",*,0.5,0,0,0,0,0,0,0,0,0,0
12,13.0,152.0,13.0,14.0,1995-12-03,BUF,@,SFO,"L, 17-27",*,3.0,0,0,0,0,0,0,0,0,0,0
13,14.0,153.0,14.0,15.0,1995-12-10,BUF,@,STL,"W, 45-27",*,2.0,0,0,0,0,0,0,0,0,0,0
14,15.0,154.0,15.0,16.0,1995-12-17,BUF,,MIA,"W, 23-20",*,0.0,0,0,0,0,0,0,,0,0,0
15,15.0,,16.0,17.0,1995-12-24,BUF,,HOU,"L, 17-28",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,10-5,,10.5,0,0,0,0,0,0,0,1,0,0
