,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,Sfty,Fmb,FL,FF,FR,Yds,FRTD
0,,,1.0,1.0,1998-09-06,BUF,@,SDG,"L, 14-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,187.0,2.0,2.0,1998-09-13,BUF,@,MIA,"L, 7-13",*,0.5,0,0,0,0,0,0,0,0,0,0
2,2.0,188.0,3.0,3.0,1998-09-20,BUF,,STL,"L, 33-34",*,1.0,0,0,0,0,0,0,0,0,0,0
3,3.0,189.0,4.0,5.0,1998-10-04,BUF,,SFO,"W, 26-21",*,1.0,0,0,0,0,0,0,0,0,0,0
4,4.0,190.0,5.0,6.0,1998-10-11,BUF,@,IND,"W, 31-24",*,0.0,0,0,0,0,0,0,,0,0,0
5,5.0,191.0,6.0,7.0,1998-10-18,BUF,,JAX,"W, 17-16",*,1.0,0,0,0,0,0,0,0,0,0,0
6,6.0,192.0,7.0,8.0,1998-10-25,BUF,@,CAR,"W, 30-14",*,0.0,0,0,0,0,0,0,,1,0,0
7,7.0,193.0,8.0,9.0,1998-11-01,BUF,,MIA,"W, 30-24",*,0.5,0,0,0,0,0,0,0,0,0,0
8,8.0,194.0,9.0,10.0,1998-11-08,BUF,@,NYJ,"L, 12-34",*,1.0,0,0,0,0,0,0,0,0,0,0
9,9.0,195.0,10.0,11.0,1998-11-15,BUF,,NWE,"W, 13-10",*,2.0,0,0,0,0,0,0,0,0,0,0
10,10.0,196.0,11.0,12.0,1998-11-22,BUF,,IND,"W, 34-11",*,0.0,0,0,0,0,0,0,,0,0,0
11,11.0,197.0,12.0,13.0,1998-11-29,BUF,@,NWE,"L, 21-25",*,1.0,0,0,0,0,0,0,0,0,0,0
12,12.0,198.0,13.0,14.0,1998-12-06,BUF,@,CIN,"W, 33-20",*,0.0,0,0,0,0,0,0,,0,0,0
13,13.0,199.0,14.0,15.0,1998-12-13,BUF,,OAK,"W, 44-21",*,1.0,0,0,0,0,0,0,0,0,0,0
14,14.0,200.0,15.0,16.0,1998-12-19,BUF,,NYJ,"L, 10-17",*,0.0,0,0,0,0,0,0,,0,0,0
15,15.0,201.0,16.0,17.0,1998-12-27,BUF,@,NOR,"W, 45-33",*,1.0,0,0,0,0,0,0,0,1,18,0
16,,,,,,,,,10-5,,10.0,0,0,0,0,0,0,0,2,18,0
