,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty,Int,Yds,IntTD,PD,Fmb,FF,FR,Yds.1,FRTD
0,1.0,109.0,1.0,1.0,1993-09-05,BUF,,NWE,"W, 38-14",*,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
1,2.0,110.0,2.0,2.0,1993-09-12,BUF,@,DAL,"W, 13-10",*,0.0,0,0,0,0,0,0,,0,,0,0,0
2,3.0,111.0,3.0,4.0,1993-09-26,BUF,,MIA,"L, 13-22",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
3,4.0,112.0,4.0,5.0,1993-10-03,BUF,,NYG,"W, 17-14",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
4,5.0,113.0,5.0,6.0,1993-10-11,BUF,,HOU,"W, 35-7",*,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
5,6.0,114.0,6.0,8.0,1993-10-24,BUF,@,NYJ,"W, 19-10",*,1.0,0,0,0,1,0,0,0.0,0,0.0,0,0,0
6,7.0,115.0,7.0,9.0,1993-11-01,BUF,,WAS,"W, 24-10",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
7,8.0,116.0,8.0,10.0,1993-11-07,BUF,@,NWE,"W, 13-10 (OT)",*,0.5,0,0,0,0,0,0,0.0,0,0.0,0,0,0
8,9.0,117.0,9.0,11.0,1993-11-15,BUF,@,PIT,"L, 0-23",*,0.0,0,0,0,0,0,0,,0,,0,0,0
9,10.0,118.0,10.0,12.0,1993-11-21,BUF,,IND,"W, 23-9",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
10,11.0,119.0,11.0,13.0,1993-11-28,BUF,@,KAN,"L, 7-23",*,0.0,0,0,0,0,0,0,,0,,1,0,0
11,12.0,120.0,12.0,14.0,1993-12-05,BUF,,RAI,"L, 24-25",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
12,13.0,121.0,13.0,15.0,1993-12-12,BUF,@,PHI,"W, 10-7",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
13,14.0,122.0,14.0,16.0,1993-12-19,BUF,@,MIA,"W, 47-34",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
14,15.0,123.0,15.0,17.0,1993-12-26,BUF,,NYJ,"W, 16-14",*,0.0,0,0,0,0,0,0,,0,,0,0,0
15,16.0,124.0,16.0,18.0,1994-01-02,BUF,@,IND,"W, 30-10",*,1.5,0,0,0,0,0,0,0.0,0,0.0,0,0,0
16,,,,,,,,,12-4,,14.0,0,0,0,1,0,0,0.0,0,0.0,1,0,0
