,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty
0,1.0,94.0,1.0,1.0,1992-09-06,BUF,,RAM,"W, 40-7",*,2.0,0,0,0
1,2.0,95.0,2.0,2.0,1992-09-13,BUF,@,SFO,"W, 34-31",*,0.0,0,0,0
2,3.0,96.0,3.0,3.0,1992-09-20,BUF,,IND,"W, 38-0",*,3.0,0,0,0
3,4.0,97.0,4.0,4.0,1992-09-27,BUF,@,NWE,"W, 41-7",*,0.0,0,0,0
4,5.0,98.0,5.0,5.0,1992-10-04,BUF,,MIA,"L, 10-37",*,0.0,0,0,0
5,6.0,99.0,6.0,6.0,1992-10-11,BUF,@,RAI,"L, 3-20",*,1.0,0,0,0
6,7.0,100.0,7.0,8.0,1992-10-26,BUF,@,NYJ,"W, 24-20",*,0.5,0,0,0
7,8.0,101.0,8.0,9.0,1992-11-01,BUF,,NWE,"W, 16-7",*,0.5,0,0,0
8,9.0,102.0,9.0,10.0,1992-11-08,BUF,,PIT,"W, 28-20",*,1.0,0,0,0
9,10.0,103.0,10.0,11.0,1992-11-16,BUF,@,MIA,"W, 26-20",*,1.0,0,0,0
10,11.0,104.0,11.0,12.0,1992-11-22,BUF,,ATL,"W, 41-14",*,0.0,0,0,0
11,12.0,105.0,12.0,13.0,1992-11-29,BUF,@,IND,"L, 13-16 (OT)",*,1.0,0,0,0
12,13.0,106.0,13.0,14.0,1992-12-06,BUF,,NYJ,"L, 17-24",*,2.0,0,0,0
13,14.0,107.0,14.0,15.0,1992-12-12,BUF,,DEN,"W, 27-17",*,2.0,0,0,0
14,14.0,,15.0,16.0,1992-12-20,BUF,@,NOR,"W, 20-16",Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,108.0,16.0,17.0,1992-12-27,BUF,@,HOU,"L, 3-27",*,0.0,0,0,0
16,,,,,,,,,10-5,,14.0,0,0,0
