,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,Sfty,Fmb,FL,FF,FR,Yds,FRTD
0,1.0,155.0,1.0,1.0,1996-09-01,BUF,@,NYG,"W, 23-20 (OT)",*,2.0,0,0,0,0,0,0,0.0,0,0,0
1,2.0,156.0,2.0,2.0,1996-09-08,BUF,,NWE,"W, 17-10",*,3.0,0,0,0,0,0,0,0.0,0,0,0
2,3.0,157.0,3.0,3.0,1996-09-16,BUF,@,PIT,"L, 6-24",*,0.0,0,0,0,0,0,0,,0,0,0
3,4.0,158.0,4.0,4.0,1996-09-22,BUF,,DAL,"W, 10-7",*,0.0,0,0,0,0,0,0,,0,0,0
4,5.0,159.0,5.0,6.0,1996-10-06,BUF,,IND,"W, 16-13 (OT)",*,1.0,0,0,0,0,0,0,0.0,0,0,0
5,6.0,160.0,6.0,7.0,1996-10-13,BUF,,MIA,"L, 7-21",*,1.0,0,0,0,0,0,0,0.0,0,0,0
6,7.0,161.0,7.0,8.0,1996-10-20,BUF,@,NYJ,"W, 25-22",*,0.0,0,0,0,0,0,0,,0,0,0
7,8.0,162.0,8.0,9.0,1996-10-27,BUF,@,NWE,"L, 25-28",*,0.0,0,0,0,0,0,0,,0,0,0
8,9.0,163.0,9.0,10.0,1996-11-03,BUF,,WAS,"W, 38-13",*,0.0,0,0,0,0,0,0,,0,0,0
9,10.0,164.0,10.0,11.0,1996-11-10,BUF,@,PHI,"W, 24-17",*,2.0,0,0,0,0,0,0,0.0,0,0,0
10,11.0,165.0,11.0,12.0,1996-11-17,BUF,,CIN,"W, 31-17",*,1.5,0,0,0,0,0,0,0.0,0,0,0
11,12.0,166.0,12.0,13.0,1996-11-24,BUF,,NYJ,"W, 35-10",*,1.0,0,0,0,0,0,0,0.0,1,0,0
12,13.0,167.0,13.0,14.0,1996-12-01,BUF,@,IND,"L, 10-13 (OT)",*,1.0,0,0,0,0,0,0,0.0,0,0,0
13,14.0,168.0,14.0,15.0,1996-12-08,BUF,@,SEA,"L, 18-26",*,0.0,0,0,0,0,0,0,,0,0,0
14,15.0,169.0,15.0,16.0,1996-12-16,BUF,@,MIA,"L, 14-16",*,0.0,0,0,0,0,0,0,,0,0,0
15,16.0,170.0,16.0,17.0,1996-12-22,BUF,,KAN,"W, 20-9",*,1.0,0,0,0,0,0,0,0.0,0,0,0
16,,,,,,,,,10-6,,13.5,0,0,0,0,0,0,0.0,1,0,0
