,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty
0,,,1.0,1.0,1991-09-01,BUF,,MIA,"W, 35-31",Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,1991-09-08,BUF,,PIT,"W, 52-34",Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,1991-09-15,BUF,@,NYJ,"W, 23-20",Inactive,Inactive,Inactive,Inactive,Inactive
3,,,4.0,4.0,1991-09-22,BUF,@,TAM,"W, 17-10",Inactive,Inactive,Inactive,Inactive,Inactive
4,1.0,89.0,5.0,5.0,1991-09-29,BUF,,CHI,"W, 35-20",*,0.0,0,0,0
5,1.0,,6.0,6.0,1991-10-07,BUF,@,KAN,"L, 6-33",Inactive,Inactive,Inactive,Inactive,Inactive
6,1.0,,7.0,7.0,1991-10-13,BUF,,IND,"W, 42-6",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
7,1.0,,8.0,8.0,1991-10-21,BUF,,CIN,"W, 35-16",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
8,1.0,,9.0,10.0,1991-11-03,BUF,,NWE,"W, 22-17",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,1.0,,10.0,11.0,1991-11-10,BUF,@,GNB,"W, 34-24",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
10,1.0,,11.0,12.0,1991-11-18,BUF,@,MIA,"W, 41-27",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,1.0,,12.0,13.0,1991-11-24,BUF,@,NWE,"L, 13-16",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,2.0,90.0,13.0,14.0,1991-12-01,BUF,,NYJ,"W, 24-13",*,1.0,0,0,0
13,3.0,91.0,14.0,15.0,1991-12-08,BUF,@,RAI,"W, 30-27 (OT)",*,0.5,0,0,0
14,4.0,92.0,15.0,16.0,1991-12-15,BUF,@,IND,"W, 35-7",*,0.0,0,0,0
15,5.0,93.0,16.0,17.0,1991-12-22,BUF,,DET,"L, 14-17 (OT)",*,0.0,0,0,0
16,,,,,,,,,4-1,,1.5,0,0,0
