,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty
0,1.0,45.0,5.0,5.0,1988-10-02,BUF,@,CHI,"L, 3-24",*,0.0,0,0,0
1,2.0,46.0,6.0,6.0,1988-10-09,BUF,,IND,"W, 34-23",*,1.0,0,0,0
2,3.0,47.0,7.0,7.0,1988-10-17,BUF,@,NYJ,"W, 37-14",*,2.5,0,0,0
3,4.0,48.0,8.0,8.0,1988-10-23,BUF,,NWE,"W, 23-20",*,1.0,0,0,0
4,5.0,49.0,9.0,9.0,1988-10-30,BUF,,GNB,"W, 28-0",*,0.5,0,0,0
5,6.0,50.0,10.0,10.0,1988-11-06,BUF,@,SEA,"W, 13-3",*,2.0,0,0,0
6,7.0,51.0,11.0,11.0,1988-11-14,BUF,@,MIA,"W, 31-6",*,0.0,0,0,0
7,8.0,52.0,12.0,12.0,1988-11-20,BUF,,NYJ,"W, 9-6 (OT)",*,0.0,0,0,0
8,9.0,53.0,13.0,13.0,1988-11-27,BUF,@,CIN,"L, 21-35",*,1.0,0,0,0
9,10.0,54.0,14.0,14.0,1988-12-04,BUF,@,TAM,"L, 5-10",*,1.0,0,0,1
10,11.0,55.0,15.0,15.0,1988-12-11,BUF,,RAI,"W, 37-21",*,1.0,0,0,0
11,12.0,56.0,16.0,16.0,1988-12-18,BUF,@,IND,"L, 14-17",*,1.0,0,0,0
12,,,,,,,,,8-4,,11.0,0,0,1
