,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,78.0,1.0,1.0,2025-09-08,MIN,@,CHI,"W, 27-24",*,7,4,44,11.0,1,57.1,6.3,1,4,0,4.0,55,98.2,0,0.0,0,0.0
1,2.0,79.0,2.0,2.0,2025-09-14,MIN,,ATL,"L, 6-22",*,6,3,81,27.0,0,50.0,13.5,0,0,0,,47,100.0,0,0.0,0,0.0
2,3.0,80.0,3.0,3.0,2025-09-21,MIN,,CIN,"W, 48-10",*,7,5,75,15.0,0,71.4,10.7,0,0,0,,48,80.0,0,0.0,0,0.0
3,,,,,,,,,2-1,,20,12,200,16.7,1,60.0,10.0,1,4,0,4.0,150,92.0,0,0.0,0,0.0
