,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2022-09-11,MIN,,GNB,"W, 23-7",*,11,9,184,20.4,2,81.8,16.7,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,91.9,0,0.0,0,0.0
1,2.0,35.0,2.0,2.0,2022-09-19,MIN,@,PHI,"L, 7-24",*,12,6,48,8.0,0,50.0,4.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,98.4,0,0.0,0,0.0
2,3.0,36.0,3.0,3.0,2022-09-25,MIN,,DET,"W, 28-24",*,6,3,14,4.7,0,50.0,2.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
3,4.0,37.0,4.0,4.0,2022-10-02,MIN,@,NOR,"W, 28-25",*,13,10,147,14.7,0,76.9,11.3,1,3,1,3.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,94.4,0,0.0,0,0.0
4,5.0,38.0,5.0,5.0,2022-10-09,MIN,,CHI,"W, 29-22",*,13,12,154,12.8,0,92.3,11.8,0,0,0,,1,1,100.0,23,0,0,23.0,23.0,118.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,79,100.0,0,0.0,0,0.0
5,6.0,39.0,6.0,6.0,2022-10-16,MIN,@,MIA,"W, 24-16",*,8,6,107,17.8,0,75.0,13.4,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,49,94.2,0,0.0,0,0.0
6,7.0,40.0,7.0,8.0,2022-10-30,MIN,,ARI,"W, 34-26",*,8,6,98,16.3,0,75.0,12.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70,98.6,0,0.0,0,0.0
7,8.0,41.0,8.0,9.0,2022-11-06,MIN,@,WAS,"W, 20-17",*,13,7,115,16.4,1,53.8,8.8,1,10,0,10.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
8,9.0,42.0,9.0,10.0,2022-11-13,MIN,@,BUF,"W, 33-30 (OT)",*,16,10,193,19.3,1,62.5,12.1,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,83,100.0,0,0.0,0,0.0
9,10.0,43.0,10.0,11.0,2022-11-20,MIN,,DAL,"L, 3-40",*,5,3,33,11.0,0,60.0,6.6,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,78.9,0,0.0,0,0.0
10,11.0,44.0,11.0,12.0,2022-11-24,MIN,,NWE,"W, 33-26",*,11,9,139,15.4,1,81.8,12.6,0,0,0,,1,1,100.0,11,0,0,11.0,11.0,112.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,97.1,0,0.0,0,0.0
11,12.0,45.0,12.0,13.0,2022-12-04,MIN,,NYJ,"W, 27-22",*,11,7,45,6.4,1,63.6,4.1,2,11,0,5.5,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,95.6,0,0.0,0,0.0
12,13.0,46.0,13.0,14.0,2022-12-11,MIN,@,DET,"L, 23-34",*,15,11,223,20.3,0,73.3,14.9,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,93.8,0,0.0,0,0.0
13,14.0,47.0,14.0,15.0,2022-12-17,MIN,,IND,"W, 39-36 (OT)",*,16,12,123,10.3,1,75.0,7.7,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,83,92.2,0,0.0,0,0.0
14,15.0,48.0,15.0,16.0,2022-12-24,MIN,,NYG,"W, 27-24",*,16,12,133,11.1,1,75.0,8.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
15,16.0,49.0,16.0,17.0,2023-01-01,MIN,@,GNB,"L, 17-41",*,5,1,15,15.0,0,20.0,3.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,46,79.3,0,0.0,0,0.0
16,17.0,50.0,17.0,18.0,2023-01-08,MIN,@,CHI,"W, 29-13",*,5,4,38,9.5,0,80.0,7.6,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,36,50.7,0,0.0,0,0.0
17,,,,,,,,,13-4,,184,128,1809,14.1,8,69.6,9.8,4,24,1,6.0,2,2,100.0,34,0,0,17.0,17.0,118.7,0,0,0.0,2,2,0,0,0,0,0,0,0,1,0,0,1079,92.4,0,0.0,0,0.0
