,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2017,22,HOU,NFL,QB,7.0,6.0,3-3-0,126.0,204.0,61.8,1699.0,19.0,9.3,8.0,3.9,85.0,46.6,72.0,8.3,8.43,13.5,242.7,103.0,83.7,19.0,116.0,8.52,7.1,7.19,0.0,0.0,7.0,AP ORoY-3
1,2018,23,HOU,NFL,QB,16.0,16.0,11-5-0,345.0,505.0,68.3,4165.0,26.0,5.1,9.0,1.8,202.0,46.4,73.0,8.2,8.48,12.1,260.3,103.1,61.8,62.0,384.0,10.93,6.67,6.87,5.0,5.0,16.0,PB
2,2019,24,HOU,NFL,QB,15.0,15.0,10-5-0,333.0,495.0,67.3,3852.0,26.0,5.3,12.0,2.4,191.0,49.4,54.0,7.8,7.74,11.6,256.8,98.0,70.5,44.0,257.0,8.16,6.67,6.63,3.0,5.0,16.0,PB
3,2020,25,HOU,NFL,QB,16.0,16.0,4-12-0,382.0,544.0,70.2,4823.0,33.0,6.1,7.0,1.3,221.0,54.5,77.0,8.9,9.5,12.6,301.4,112.4,63.7,49.0,293.0,8.26,7.64,8.22,0.0,0.0,16.0,PB
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022,27,CLE,NFL,QB,6.0,6.0,3-3-0,99.0,170.0,58.2,1102.0,7.0,4.1,5.0,2.9,53.0,41.6,46.0,6.5,5.98,11.1,183.7,79.1,40.4,20.0,106.0,10.53,5.24,4.79,0.0,0.0,4.0,
6,2023,28,CLE,NFL,QB,6.0,6.0,5-1-0,105.0,171.0,61.4,1115.0,7.0,4.1,4.0,2.3,52.0,38.3,59.0,6.5,6.29,10.6,185.8,84.3,42.9,17.0,85.0,9.04,5.48,5.27,1.0,1.0,4.0,
7,2024,29,CLE,NFL,QB,7.0,7.0,1-6-0,137.0,216.0,63.4,1148.0,5.0,2.3,3.0,1.4,49.0,33.3,35.0,5.3,5.15,8.4,164.0,79.0,23.4,33.0,191.0,13.25,3.84,3.7,0.0,0.0,0.0,
8,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,73.0,72.0,37-35-0,1527.0,2305.0,66.2,17904.0,123.0,5.3,48.0,2.1,853.0,46.7,77.0,7.8,7.9,11.7,245.3,98.8,,244.0,1432.0,9.57,6.46,6.58,9.0,11.0,63.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,37-35-0,356.0,537.0,66.2,4169.0,29.0,5.3,11.0,2.1,199.0,46.7,77.0,7.8,7.9,11.7,245.3,98.8,,57.0,333.0,9.57,6.46,6.58,2.0,3.0,15.0,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,HOU (4 Yrs),HOU (4 Yrs),HOU (4 Yrs),HOU (4 Yrs),,54.0,53.0,28-25-0,1186.0,1748.0,67.8,14539.0,104.0,5.9,36.0,2.1,699.0,49.7,77.0,8.3,8.58,12.3,269.2,104.5,,174.0,1050.0,9.05,7.02,7.26,8.0,10.0,55.0,
12,CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,19.0,19.0,9-10-0,341.0,557.0,61.2,3365.0,19.0,3.4,12.0,2.2,154.0,37.3,59.0,6.0,5.75,9.9,177.1,80.7,,70.0,382.0,11.16,4.76,4.5,1.0,1.0,8.0,
