,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2018-09-09,CLE,,PIT,"T, 21-21 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2018-09-16,CLE,@,NOR,"L, 18-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1.0,1.0,3.0,3.0,2018-09-20,CLE,,NYJ,"W, 21-17",,17,23,73.9,201,0,0,8.7,8.74,100.1,1,8,2,-2,0,-1.0,0,0,0,0,,,1,0,0,0,0,0,46,59.7,0,0.0,0,0.0
3,2.0,2.0,4.0,4.0,2018-09-30,CLE,@,OAK,"L, 42-45 (OT)",*,21,41,51.2,295,2,2,7.2,5.98,70.7,2,16,4,10,0,2.5,0,0,0,0,,,2,2,0,0,0,0,81,100.0,0,0.0,0,0.0
4,3.0,3.0,5.0,5.0,2018-10-07,CLE,,BAL,"W, 12-9 (OT)",*,25,43,58.1,342,1,1,8.0,7.37,81.7,5,38,2,23,0,11.5,0,0,0,0,,,0,0,0,0,0,0,80,100.0,0,0.0,0,0.0
5,4.0,4.0,6.0,6.0,2018-10-14,CLE,,LAC,"L, 14-38",*,22,46,47.8,238,1,2,5.2,3.65,52.6,5,24,2,8,0,4.0,0,0,0,0,,,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
6,5.0,5.0,7.0,7.0,2018-10-21,CLE,@,TAM,"L, 23-26 (OT)",*,23,34,67.6,215,2,0,6.3,7.50,104.4,5,29,4,43,0,10.8,0,0,0,0,,,1,0,0,0,0,0,68,100.0,0,0.0,0,0.0
7,6.0,6.0,8.0,8.0,2018-10-28,CLE,@,PIT,"L, 18-33",*,22,36,61.1,180,2,1,5.0,4.86,80.8,2,17,1,9,0,9.0,0,0,0,0,,,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
8,7.0,7.0,9.0,9.0,2018-11-04,CLE,,KAN,"L, 21-37",*,29,42,69.0,297,2,1,7.1,6.95,95.0,2,22,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,72,96.0,0,0.0,0,0.0
9,8.0,8.0,10.0,10.0,2018-11-11,CLE,,ATL,"W, 28-16",*,17,20,85.0,216,3,0,10.8,13.80,151.2,0,0,6,20,0,3.3,1,0,0,0,0.0,0.0,1,0,0,1,0,0,53,100.0,0,0.0,0,0.0
10,9.0,9.0,11.0,12.0,2018-11-25,CLE,@,CIN,"W, 35-20",*,19,26,73.1,258,4,0,9.9,13.00,143.9,0,0,4,-4,0,-1.0,0,0,0,0,,,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
11,10.0,10.0,12.0,13.0,2018-12-02,CLE,@,HOU,"L, 13-29",*,29,43,67.4,397,1,3,9.2,6.56,75.4,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0
12,11.0,11.0,13.0,14.0,2018-12-09,CLE,,CAR,"W, 26-20",*,18,22,81.8,238,1,0,10.8,11.73,126.9,1,6,4,2,0,0.5,0,0,0,0,,,1,0,0,1,0,0,52,100.0,0,0.0,0,0.0
13,12.0,12.0,14.0,15.0,2018-12-15,CLE,@,DEN,"W, 17-16",*,18,31,58.1,188,2,1,6.1,5.90,83.8,2,13,4,6,0,1.5,0,0,0,0,,,1,1,0,0,0,0,67,100.0,0,0.0,0,0.0
14,13.0,13.0,15.0,16.0,2018-12-23,CLE,,CIN,"W, 26-18",*,27,37,73.0,284,3,0,7.7,9.30,121.9,0,0,6,16,0,2.7,0,0,0,0,,,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
15,14.0,14.0,16.0,17.0,2018-12-30,CLE,@,BAL,"L, 24-26",*,23,42,54.8,376,3,3,9.0,7.17,79.1,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
16,,,,,,,,,7-7,,310,486,63.8,3725,27,14,7.7,7.48,93.7,25,173,39,131,0,3.4,1,0,0,0,0.0,0.0,7,3,0,2,0,0,906,96.4,0,0.0,0,0.0
