,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,61.0,1.0,1,2022-09-11,CAR,,CLE,"L, 24-26",*,16,27,59.3,235,1,1,8.7,7.78,84.6,4,28,5,6,1,1.2,0.0,0,0,0,0,0,0,4,0,0,4,2,0,53,100.0,0,0.0,0,0.0
1,2.0,62.0,2.0,2,2022-09-18,CAR,@,NYG,"L, 16-19",*,14,29,48.3,145,1,0,5.0,5.69,74.6,2,16,6,35,0,5.8,0.0,0,0,0,0,0,0,1,0,0,0,0,0,58,100.0,0,0.0,0,0.0
2,3.0,63.0,3.0,3,2022-09-25,CAR,,NOR,"W, 22-14",*,12,25,48.0,170,1,0,6.8,7.60,83.7,3,22,1,-1,0,-1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
3,4.0,64.0,4.0,4,2022-10-02,CAR,,ARI,"L, 16-26",*,22,36,61.1,197,1,2,5.5,3.53,61.9,2,17,2,0,0,0.0,0.0,1,1,0,0,0,0,1,1,0,0,1,0,52,100.0,0,0.0,0,0.0
4,5.0,65.0,5.0,5,2022-10-09,CAR,,SFO,"L, 15-37",*,20,36,55.6,215,0,1,6.0,4.72,61.7,4,16,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,87.0,0,0.0,0,0.0
5,5.0,,6.0,6,2022-10-16,CAR,@,LAR,"L, 10-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,,7.0,7,2022-10-23,CAR,,TAM,"W, 21-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5.0,,8.0,8,2022-10-30,CAR,@,ATL,"L, 34-37 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,6.0,66.0,9.0,9,2022-11-06,CAR,@,CIN,"L, 21-42",,14,20,70.0,155,2,0,7.8,9.75,126.0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,63.3,0,0.0,0,0.0
9,6.0,,10.0,10,2022-11-10,CAR,,ATL,"W, 25-15",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
