,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,47.0,1.0,1.0,2021-09-12,CLE,@,KAN,"L, 29-33",*,21,28,75.0,321,0,1,11.5,9.86,97.5,2,17,1,7,0,7.0,0,0,11,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
1,2.0,48.0,2.0,2.0,2021-09-19,CLE,,HOU,"W, 31-21",*,19,21,90.5,213,1,1,10.1,8.95,105.0,2,14,8,10,1,1.3,0,0,0,0,1,0,0,0,0,0,61,100.0,0,0.0,0,0.0
2,3.0,49.0,3.0,3.0,2021-09-26,CLE,,CHI,"W, 26-6",*,19,31,61.3,246,1,0,7.9,8.58,97.0,5,43,4,31,0,7.8,0,0,0,0,0,0,0,0,0,0,76,93.8,0,0.0,0,0.0
3,4.0,50.0,4.0,4.0,2021-10-03,CLE,@,MIN,"W, 14-7",*,15,33,45.5,155,0,0,4.7,4.70,59.5,3,12,2,11,0,5.5,0,0,0,0,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0
4,5.0,51.0,5.0,5.0,2021-10-10,CLE,@,LAC,"L, 42-47",*,23,32,71.9,305,2,0,9.5,10.78,122.5,1,4,2,8,0,4.0,0,0,0,0,1,0,0,0,0,0,72,100.0,0,0.0,0,0.0
5,6.0,52.0,6.0,6.0,2021-10-17,CLE,,ARI,"L, 14-37",*,19,28,67.9,234,2,1,8.4,8.18,102.4,5,23,3,8,0,2.7,0,0,0,0,2,2,0,0,0,0,55,93.2,0,0.0,0,0.0
6,6.0,,7.0,7.0,2021-10-21,CLE,,DEN,"W, 17-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,7.0,53.0,8.0,8.0,2021-10-31,CLE,,PIT,"L, 10-15",*,20,31,64.5,225,0,0,7.3,7.26,86.1,4,15,1,5,0,5.0,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
8,8.0,54.0,9.0,9.0,2021-11-07,CLE,@,CIN,"W, 41-16",*,14,21,66.7,218,2,0,10.4,12.29,132.6,2,10,0,0,0,,0,0,0,0,0,0,0,0,0,0,45,93.8,0,0.0,0,0.0
9,9.0,55.0,10.0,10.0,2021-11-14,CLE,@,NWE,"L, 7-45",*,11,21,52.4,73,1,1,3.5,2.29,56.2,2,17,0,0,0,,0,0,0,0,1,0,0,0,0,0,36,61.0,0,0.0,0,0.0
10,10.0,56.0,11.0,11.0,2021-11-21,CLE,,DET,"W, 13-10",*,15,29,51.7,176,1,2,6.1,3.66,53.2,1,11,4,9,0,2.3,0,0,0,0,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
11,11.0,57.0,12.0,12.0,2021-11-28,CLE,@,BAL,"L, 10-16",*,18,37,48.6,247,1,0,6.7,7.22,79.4,2,24,2,4,0,2.0,0,0,0,0,1,1,0,0,0,0,60,100.0,0,0.0,0,0.0
12,12.0,58.0,13.0,14.0,2021-12-12,CLE,,BAL,"W, 24-22",*,22,32,68.8,190,2,1,5.9,5.78,91.9,0,0,6,14,0,2.3,0,0,0,0,0,0,0,0,0,0,63,96.9,0,0.0,0,0.0
13,12.0,,14.0,15.0,2021-12-20,CLE,,LVR,"L, 14-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,13.0,59.0,15.0,16.0,2021-12-25,CLE,@,GNB,"L, 22-24",*,21,36,58.3,222,2,4,6.2,2.28,55.3,5,33,2,11,0,5.5,0,0,0,0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
15,14.0,60.0,16.0,17.0,2022-01-03,CLE,@,PIT,"L, 14-26",*,16,38,42.1,185,2,2,4.9,3.55,53.1,9,46,2,16,0,8.0,0,0,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
16,14.0,,17.0,18.0,2022-01-09,CLE,,CIN,"W, 21-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,6-8,,253,418,60.5,3010,17,13,7.2,6.61,83.1,43,269,37,134,1,3.6,0,0,11,0,6,3,0,0,0,0,877,96.0,0,0.0,0,0.0
